prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail,_source_file,game_date,actual,result,avg_10,avg_15,avg_5,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_probable_count,team_questionable_count,trend,usage_expectation
231fe865ee873acd:points:8.5:under,231fe865ee873acd,Herb Jones,points,under,8.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,2.0,0.8494,1.0,0.4979,0.3211,0.559,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-112,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,,,,,,,,,,,,,
231fe865ee873acd:pra:14.5:under,231fe865ee873acd,Herb Jones,pra,under,14.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,7.99,0.8553,0.9994,0.5192,0.2998,0.5686,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-125,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,,,,,,,,,,,,,
231fe865ee873acd:points:9.5:under,231fe865ee873acd,Herb Jones,points,under,9.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,2.0,0.862,1.0,0.5399,0.2839,0.5792,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-137,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,,,,,,,,,,,,,
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,OKC,MEM,True,4,False,9.64,0.7099,0.8043,0.4897,0.1884,0.4199,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-109,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,12,WIN,,,,,,,,,,,
56366070652c315d:points:18.5:over,56366070652c315d,Derrick White,points,over,18.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,25.39,0.7226,0.818,0.5,0.1877,0.4453,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-115,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,19,WIN,,,,,,,,,,,
56366070652c315d:threes:3.5:over,56366070652c315d,Derrick White,threes,over,3.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,5.32,0.7178,0.8133,0.495,0.1873,0.4357,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-113,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,3,LOSS,,,,,,,,,,,
56366070652c315d:pra:28.5:over,56366070652c315d,Derrick White,pra,over,28.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,36.11,0.7038,0.7889,0.5052,0.1667,0.4076,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-116,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,28,LOSS,,,,,,,,,,,
4e45d282ab40fb92:threes:2.5:over,4e45d282ab40fb92,Cam Spencer,threes,over,2.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,,,,3,False,4.21,0.7547,0.8323,0.5735,0.1408,0.5094,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-159,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,3,WIN,,,,,,,,,,,
8a59c926ad0214ec:rebounds:2.5:over,8a59c926ad0214ec,Darius Garland,rebounds,over,2.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:10:00+00:00,CLE,CHA,True,4,False,4.11,0.7827,0.8594,0.6037,0.1373,0.5653,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-182,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,4,WIN,,,,,,,,,,,
56e46e859e224d01:rebounds:3.5:under,56e46e859e224d01,Cason Wallace,rebounds,under,3.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,OKC,MEM,True,4,False,2.18,0.7552,0.8266,0.5884,0.1255,0.5103,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-170,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,3,WIN,,,,,,,,,,,
18b51ba0144cbe14:rebounds:5.5:over,18b51ba0144cbe14,Isaiah Jackson,rebounds,over,5.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,,,,3,False,8.39,0.7205,0.79,0.5585,0.1238,0.4411,LOW,"{'minutes_trend': 0.9408, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-148,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,0,LOSS,,,,,,,,,,,
1632dad36b5e936c:threes:1.5:under,1632dad36b5e936c,Dean Wade,threes,under,1.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:10:00+00:00,CLE,CHA,True,4,False,0.85,0.7018,0.7406,0.6113,0.0466,0.4035,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-190,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,4,LOSS,,,,,,,,,,,
a168fb201860affc:assists:2.5:under,a168fb201860affc,Bennedict Mathurin,assists,under,2.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,IND,BOS,False,3,False,1.84,0.7102,0.7459,0.6269,0.0435,0.4204,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-200,,,,.cache/runs/picks_filtered_3207b689491c462eb48670e49996c9a6.csv,2025-12-22,0,WIN,,,,,,,,,,,
08937c7231a9a619:pra:30.5:over,08937c7231a9a619,Cooper Flagg,pra,over,30.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.727,0.8242,0.5,0.1921,0.4539,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-115,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,28,LOSS,34.5,32.0,37.0,0.7,0.6,4,0,0,0,UP,Usage up
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,9.64,0.71,0.8043,0.4899,0.1862,0.42,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-110,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,12,WIN,12.4,12.6,10.4,0.6,0.6,3,0,0,0,DOWN,Usage down
08937c7231a9a619:pra:31.5:over,08937c7231a9a619,Cooper Flagg,pra,over,31.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.705,0.7964,0.4918,0.1812,0.41,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-110,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,28,LOSS,34.5,32.0,37.0,0.5,0.4666666666666667,-1,0,0,0,UP,Usage up
56e46e859e224d01:pra:14.5:under,56e46e859e224d01,Cason Wallace,pra,under,14.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,9.64,0.7681,0.8598,0.5541,0.1762,0.5362,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-145,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,12,WIN,12.4,12.6,10.4,0.7,0.6666666666666666,3,0,0,0,DOWN,Usage down
08937c7231a9a619:pra:29.5:over,08937c7231a9a619,Cooper Flagg,pra,over,29.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.7595,0.8496,0.5492,0.171,0.5189,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-143,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,28,LOSS,34.5,32.0,37.0,0.8,0.6666666666666666,4,0,0,0,UP,Usage up
56e46e859e224d01:pra:15.5:under,56e46e859e224d01,Cason Wallace,pra,under,15.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,9.64,0.8151,0.9034,0.6091,0.166,0.6302,MEDIUM,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-185,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,12,WIN,12.4,12.6,10.4,0.8,0.8,5,0,0,0,DOWN,Usage down
08937c7231a9a619:pra:28.5:over,08937c7231a9a619,Cooper Flagg,pra,over,28.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.7881,0.8724,0.5915,0.1585,0.5762,MEDIUM,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-170,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,28,LOSS,34.5,32.0,37.0,0.8,0.6666666666666666,4,0,0,0,UP,Usage up
719212055825801f:points:28.5:under,719212055825801f,Cade Cunningham,points,under,28.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.7211,0.8043,0.527,0.1559,0.4423,LOW,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-130,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,25.3,27.933333333333334,24.2,0.5,0.4666666666666667,1,0,0,0,DOWN,Usage down
4e45d282ab40fb92:pra:24.5:over,4e45d282ab40fb92,Cam Spencer,pra,over,24.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,29.62,0.701,0.7828,0.5101,0.1555,0.402,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-120,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,27,WIN,25.3,22.066666666666666,29.2,0.5,0.4,3,0,0,0,UP,
4e45d282ab40fb92:pra:23.5:over,4e45d282ab40fb92,Cam Spencer,pra,over,23.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,29.62,0.7464,0.8249,0.5633,0.1464,0.4929,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,27,WIN,25.3,22.066666666666666,29.2,0.6,0.4666666666666667,3,0,0,0,UP,
4e45d282ab40fb92:points:14.5:over,4e45d282ab40fb92,Cam Spencer,points,over,14.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,19.32,0.746,0.8243,0.5633,0.146,0.492,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,LOSS,17.1,14.533333333333333,19.0,0.7,0.6,3,0,0,0,UP,
719212055825801f:assists:9.5:under,719212055825801f,Cade Cunningham,assists,under,9.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,8.1,0.7014,0.779,0.5203,0.1458,0.4028,LOW,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-125,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,9,WIN,9.0,8.8,9.4,0.6,0.5333333333333333,-1,0,0,0,UP,Usage down
719212055825801f:points:30.5:under,719212055825801f,Cade Cunningham,points,under,30.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.7909,0.8688,0.6091,0.1418,0.5818,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-185,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,25.3,27.933333333333334,24.2,0.8,0.7333333333333333,2,0,0,0,DOWN,Usage down
719212055825801f:pra:44.5:under,719212055825801f,Cade Cunningham,pra,under,44.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,35.53,0.7185,0.7945,0.5411,0.1405,0.437,LOW,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-137,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,29,WIN,41.0,44.2,39.8,0.7,0.6,1,0,0,0,DOWN,Usage down
8a59c926ad0214ec:pra:30.5:over,8a59c926ad0214ec,Darius Garland,pra,over,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.7132,0.7871,0.5408,0.1388,0.4264,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-135,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,41,WIN,28.1,26.46153846153846,32.2,0.3,0.3076923076923077,1,0,0,0,UP,Usage up
8a59c926ad0214ec:rebounds:2.5:over,8a59c926ad0214ec,Darius Garland,rebounds,over,2.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,4.11,0.7815,0.8594,0.5997,0.1386,0.5629,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-180,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,4,WIN,3.0,3.0,3.4,0.5,0.46153846153846156,-1,0,0,0,FLAT,Usage up
719212055825801f:points:29.5:under,719212055825801f,Cade Cunningham,points,under,29.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.7605,0.8387,0.578,0.1378,0.521,LOW,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-165,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,25.3,27.933333333333334,24.2,0.8,0.7333333333333333,2,0,0,0,DOWN,Usage down
3b09314818626f62:assists:3.5:over,3b09314818626f62,Anthony Black,assists,over,3.5,3681cef1ff8c7de872f8f52134b3d101,GSW,ORL,2025-12-23 03:00:00+00:00,,,,3,False,4.62,0.7209,0.7964,0.5446,0.1375,0.4417,LOW,"{'minutes_trend': 1.0965, 'usage_trend': 1.0101, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-140,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,3,LOSS,4.4,4.2,4.6,0.7,0.7333333333333333,1,0,0,0,FLAT,
4e45d282ab40fb92:pra:22.5:over,4e45d282ab40fb92,Cam Spencer,pra,over,22.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,29.62,0.7857,0.8615,0.6091,0.1366,0.5715,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-185,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,27,WIN,25.3,22.066666666666666,29.2,0.6,0.4666666666666667,3,0,0,0,UP,
56e46e859e224d01:rebounds:3.5:under,56e46e859e224d01,Cason Wallace,rebounds,under,3.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,2.18,0.7512,0.8266,0.5752,0.1358,0.5024,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-160,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,3,WIN,3.2,2.7333333333333334,2.4,0.6,0.7333333333333333,3,0,0,0,FLAT,Usage down
a168fb201860affc:pra:27.5:under,a168fb201860affc,Bennedict Mathurin,pra,under,27.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:30:00+00:00,IND,BOS,False,3,False,20.31,0.7345,0.8078,0.5633,0.1345,0.469,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,25,WIN,23.4,24.8,20.8,0.7,0.6,4,0,0,0,DOWN,Usage down
179b8654e93bf924:points:16.5:under,179b8654e93bf924,Cameron Johnson,points,under,16.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,11.54,0.7081,0.7798,0.5408,0.1336,0.4161,LOW,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",UNDER,-135,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,20,LOSS,14.0,14.666666666666666,12.4,0.8,0.6666666666666666,1,0,0,0,DOWN,Usage down
719212055825801f:points:31.5:under,719212055825801f,Cade Cunningham,points,under,31.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.8201,0.8948,0.6456,0.1326,0.6401,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-220,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,25.3,27.933333333333334,24.2,0.8,0.7333333333333333,2,0,0,0,DOWN,Usage down
8a59c926ad0214ec:assists:6.5:over,8a59c926ad0214ec,Darius Garland,assists,over,6.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,8.33,0.7468,0.8204,0.5752,0.1314,0.4936,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-160,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,10,WIN,7.0,6.538461538461538,6.6,0.6,0.5384615384615384,1,0,0,0,FLAT,Usage up
08937c7231a9a619:points:19.5:over,08937c7231a9a619,Cooper Flagg,points,over,19.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,27.15,0.739,0.8133,0.5654,0.1311,0.4779,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-155,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,16,LOSS,24.0,21.933333333333334,26.0,0.7,0.6,4,0,0,0,UP,Usage up
4e45d282ab40fb92:points:13.5:over,4e45d282ab40fb92,Cam Spencer,points,over,13.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,19.32,0.7963,0.8697,0.625,0.1296,0.5926,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-200,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,17.1,14.533333333333333,19.0,0.7,0.6,3,0,0,0,UP,
08937c7231a9a619:rebounds:5.5:over,08937c7231a9a619,Cooper Flagg,rebounds,over,5.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,7.36,0.7193,0.7901,0.5541,0.1275,0.4387,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-145,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,6,WIN,6.2,6.133333333333334,6.2,0.6,0.6666666666666666,-1,0,0,0,FLAT,Usage up
facb6803046eab5c:pra:26.5:over,facb6803046eab5c,Brandon Miller,pra,over,26.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,34.47,0.7259,0.7956,0.5633,0.1259,0.4519,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,24,LOSS,27.0,25.583333333333332,31.6,0.5,0.5,-1,0,0,0,UP,
