prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail,_source_file,game_date,actual,result,avg_10,avg_15,avg_5,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_probable_count,team_questionable_count,trend,usage_expectation
8a59c926ad0214ec:pra:29.5:over,8a59c926ad0214ec,Darius Garland,pra,over,29.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.747,0.817,0.5835,0.1243,0.4939,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-165,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,41,WIN,28.1,26.46153846153846,32.2,0.4,0.38461538461538464,1,0,0,0,UP,Usage up
179b8654e93bf924:points:17.5:under,179b8654e93bf924,Cameron Johnson,points,under,17.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,11.54,0.7536,0.823,0.5915,0.1239,0.5071,LOW,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",UNDER,-170,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,20,LOSS,14.0,14.666666666666666,12.4,0.8,0.6666666666666666,1,0,0,0,DOWN,Usage down
719212055825801f:pra:45.5:under,719212055825801f,Cade Cunningham,pra,under,45.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,35.53,0.7485,0.8196,0.5824,0.123,0.497,LOW,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-167,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,29,WIN,41.0,44.2,39.8,0.7,0.6,1,0,0,0,DOWN,Usage down
04d4e75260920eb7:pra:15.5:under,04d4e75260920eb7,Caris LeVert,pra,under,15.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,CLE,,,3,False,11.78,0.7183,0.7847,0.5633,0.1183,0.4366,LOW,"{'minutes_trend': 1.0251, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,5,WIN,12.5,14.666666666666666,13.0,0.6,0.4666666666666667,2,0,0,0,DOWN,Usage down
08937c7231a9a619:rebounds:4.5:over,08937c7231a9a619,Cooper Flagg,rebounds,over,4.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,7.36,0.823,0.8928,0.66,0.1171,0.6459,MEDIUM,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-240,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,6,WIN,6.2,6.133333333333334,6.2,0.8,0.8,-1,0,0,0,FLAT,Usage up
4e45d282ab40fb92:threes:2.5:over,4e45d282ab40fb92,Cam Spencer,threes,over,2.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,4.21,0.7654,0.8323,0.6091,0.1162,0.5307,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-185,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,3,WIN,3.6,2.933333333333333,4.2,0.8,0.6666666666666666,3,0,0,0,UP,
56e46e859e224d01:points:8.5:under,56e46e859e224d01,Cason Wallace,points,under,8.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,5.57,0.716,0.7814,0.5633,0.116,0.4319,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-150,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,8,WIN,7.0,7.733333333333333,5.8,0.6,0.5333333333333333,3,0,0,0,DOWN,Usage down
d6fa084d1a037f96:pra:20.5:under,d6fa084d1a037f96,De'Andre Hunter,pra,under,20.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,17.05,0.7311,0.7979,0.5752,0.1157,0.4621,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-160,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,33,LOSS,15.3,17.933333333333334,14.4,0.9,0.7333333333333333,9,0,0,0,DOWN,
4e45d282ab40fb92:points:12.5:over,4e45d282ab40fb92,Cam Spencer,points,over,12.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,19.32,0.8375,0.9063,0.6768,0.1153,0.675,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-260,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,17.1,14.533333333333333,19.0,0.7,0.6,3,0,0,0,UP,
719212055825801f:points:32.5:under,719212055825801f,Cade Cunningham,points,under,32.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.8481,0.9169,0.6875,0.1147,0.6961,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-275,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,14,WIN,25.3,27.933333333333334,24.2,0.9,0.8,9,0,0,0,DOWN,Usage down
8a59c926ad0214ec:pra:28.5:over,8a59c926ad0214ec,Darius Garland,pra,over,28.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.7784,0.8442,0.625,0.1118,0.5568,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-200,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,41,WIN,28.1,26.46153846153846,32.2,0.5,0.46153846153846156,1,0,0,0,UP,Usage up
179b8654e93bf924:pra:24.5:under,179b8654e93bf924,Cameron Johnson,pra,under,24.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,18.08,0.7332,0.7974,0.5835,0.1106,0.4665,LOW,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",UNDER,-165,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,26,LOSS,20.9,21.733333333333334,19.8,0.8,0.6666666666666666,1,0,0,0,DOWN,Usage down
facb6803046eab5c:pra:25.5:over,facb6803046eab5c,Brandon Miller,pra,over,25.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,34.47,0.7593,0.8237,0.6091,0.1102,0.5187,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-185,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,24,LOSS,27.0,25.583333333333332,31.6,0.5,0.5,-1,0,0,0,UP,
179b8654e93bf924:points:18.5:under,179b8654e93bf924,Cameron Johnson,points,under,18.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,11.54,0.796,0.8605,0.6456,0.1085,0.592,MEDIUM,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",UNDER,-220,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,20,LOSS,14.0,14.666666666666666,12.4,0.8,0.7333333333333333,1,0,0,0,DOWN,Usage down
56e46e859e224d01:points:9.5:under,56e46e859e224d01,Cason Wallace,points,under,9.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,5.57,0.7859,0.8513,0.6334,0.1085,0.5719,MEDIUM,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-210,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,8,WIN,7.0,7.733333333333333,5.8,0.8,0.6666666666666666,5,0,0,0,DOWN,Usage down
04d4e75260920eb7:rebounds:2.5:under,04d4e75260920eb7,Caris LeVert,rebounds,under,2.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,CLE,,,3,False,1.56,0.7623,0.827,0.6113,0.1071,0.5245,LOW,"{'minutes_trend': 1.0251, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-190,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,4,LOSS,1.9,1.8666666666666667,1.8,0.8,0.8,1,0,0,0,FLAT,Usage down
719212055825801f:assists:10.5:under,719212055825801f,Cade Cunningham,assists,under,10.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,8.1,0.8418,0.906,0.6921,0.105,0.6836,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-280,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,9,WIN,9.0,8.8,9.4,0.8,0.8,4,0,0,0,UP,Usage down
a168fb201860affc:points:19.5:under,a168fb201860affc,Bennedict Mathurin,points,under,19.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:30:00+00:00,IND,BOS,False,3,False,13.69,0.7198,0.7818,0.5752,0.1044,0.4396,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-160,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,16,WIN,16.0,17.266666666666666,13.4,0.7,0.6,4,0,0,0,DOWN,Usage down
facb6803046eab5c:assists:2.5:over,facb6803046eab5c,Brandon Miller,assists,over,2.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,4.95,0.7884,0.8496,0.6456,0.1009,0.5769,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-220,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,3,WIN,3.5,3.5833333333333335,4.6,0.7,0.6666666666666666,-1,0,0,0,UP,
08937c7231a9a619:points:18.5:over,08937c7231a9a619,Cooper Flagg,points,over,18.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,27.15,0.782,0.843,0.6396,0.0994,0.5639,MEDIUM,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-215,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,16,LOSS,24.0,21.933333333333334,26.0,0.8,0.6666666666666666,5,0,0,0,UP,Usage up
56e46e859e224d01:points:10.5:under,56e46e859e224d01,Cason Wallace,points,under,10.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,5.57,0.8423,0.9044,0.6974,0.0987,0.6847,MEDIUM,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-290,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,8,WIN,7.0,7.733333333333333,5.8,0.8,0.8,5,0,0,0,DOWN,Usage down
d6fa084d1a037f96:points:15.5:under,d6fa084d1a037f96,De'Andre Hunter,points,under,15.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.7856,0.8456,0.6456,0.0981,0.5712,MEDIUM,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-220,,,,.cache/runs/picks_filtered_a3eacd04d7b945b49f9bacfe86cc5bd5.csv,2025-12-22,27,LOSS,10.6,12.533333333333333,9.6,0.9,0.7333333333333333,9,0,0,0,DOWN,
231fe865ee873acd:points:8.5:under,231fe865ee873acd,Herb Jones,points,under,8.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,2.04,0.8494,1.0,0.4979,0.3211,0.559,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-112,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,,,,,,,,,,,,,
231fe865ee873acd:pra:14.5:under,231fe865ee873acd,Herb Jones,pra,under,14.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,8.16,0.8551,0.9991,0.5192,0.2995,0.5681,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-125,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,,,,,,,,,,,,,
231fe865ee873acd:points:9.5:under,231fe865ee873acd,Herb Jones,points,under,9.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,2.04,0.862,1.0,0.5399,0.2839,0.5792,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-137,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,,,,,,,,,,,,,
3e873fa1da1e572b:rebounds:8.5:under,3e873fa1da1e572b,Chet Holmgren,rebounds,under,8.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,7.2,0.7552,0.8551,0.5221,0.1957,0.4104,LOW,"{'minutes_trend': 0.9437, 'usage_trend': 1.0034, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-127,QUESTIONABLE,NBA Official Report,Injury/Illness - Low Back; Spasms,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,,,,,,,,,,,,,
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,9.55,0.714,0.8101,0.4897,0.1925,0.428,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-109,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,12,WIN,,,,,,,,,,,
4e45d282ab40fb92:threes:2.5:over,4e45d282ab40fb92,Cam Spencer,threes,over,2.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,,,,3,False,4.21,0.7547,0.8323,0.5735,0.1408,0.5094,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-159,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,3,WIN,,,,,,,,,,,
8a59c926ad0214ec:rebounds:2.5:over,8a59c926ad0214ec,Darius Garland,rebounds,over,2.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,4.07,0.7783,0.8532,0.6037,0.1329,0.5567,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-182,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,4,WIN,,,,,,,,,,,
56e46e859e224d01:rebounds:3.5:under,56e46e859e224d01,Cason Wallace,rebounds,under,3.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,2.16,0.7579,0.8306,0.5884,0.1283,0.5158,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-170,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,3,WIN,,,,,,,,,,,
18b51ba0144cbe14:rebounds:5.5:over,18b51ba0144cbe14,Isaiah Jackson,rebounds,over,5.5,810ac6d569078de0087ad1d714771a6a,Boston Celtics,Indiana Pacers,2025-12-23 00:40:00+00:00,,,,3,False,8.39,0.7205,0.79,0.5585,0.1238,0.4411,LOW,"{'minutes_trend': 0.9408, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-148,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,0,LOSS,,,,,,,,,,,
1632dad36b5e936c:threes:1.5:under,1632dad36b5e936c,Dean Wade,threes,under,1.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,0.85,0.7037,0.7433,0.6113,0.0485,0.4074,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-190,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,4,LOSS,,,,,,,,,,,
a168fb201860affc:assists:2.5:under,a168fb201860affc,Bennedict Mathurin,assists,under,2.5,810ac6d569078de0087ad1d714771a6a,Boston Celtics,Indiana Pacers,2025-12-23 00:40:00+00:00,IND,,,3,False,1.84,0.7102,0.7459,0.6269,0.0435,0.4204,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-200,,,,.cache/runs/picks_filtered_b5be6800a5354e25bd5ccfaeb3fa7e0d.csv,2025-12-22,0,WIN,,,,,,,,,,,
56e46e859e224d01:pra:14.5:under,56e46e859e224d01,Cason Wallace,pra,under,14.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,9.64,0.7549,0.8598,0.5101,0.2094,0.5097,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-120,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,12,WIN,,,,,,,,,,,
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,9.64,0.7038,0.8043,0.4694,0.2038,0.4077,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,100,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,12,WIN,,,,,,,,,,,
08937c7231a9a619:pra:30.5:over,08937c7231a9a619,Cooper Flagg,pra,over,30.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.727,0.8242,0.5,0.1921,0.4539,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-115,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,28,LOSS,,,,,,,,,,,
52371669867993bd:rebounds:2.5:under,52371669867993bd,De'Anthony Melton,rebounds,under,2.5,3681cef1ff8c7de872f8f52134b3d101,GSW,ORL,2025-12-23 03:00:00+00:00,,,,3,False,1.13,0.8213,0.9152,0.6022,0.1797,0.6426,MEDIUM,"{'minutes_trend': 0.9667, 'usage_trend': 0.9629, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-179,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,0,WIN,,,,,,,,,,,
08937c7231a9a619:pra:29.5:over,08937c7231a9a619,Cooper Flagg,pra,over,29.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.7595,0.8496,0.5492,0.171,0.5189,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-143,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,28,LOSS,,,,,,,,,,,
8a59c926ad0214ec:pra:30.5:over,8a59c926ad0214ec,Darius Garland,pra,over,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.701,0.7871,0.5,0.1661,0.402,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-115,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,41,WIN,,,,,,,,,,,
8a59c926ad0214ec:pra:29.5:over,8a59c926ad0214ec,Darius Garland,pra,over,29.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.7342,0.817,0.5408,0.1597,0.4683,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-135,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,41,WIN,,,,,,,,,,,
08937c7231a9a619:pra:28.5:over,08937c7231a9a619,Cooper Flagg,pra,over,28.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,39.55,0.7881,0.8724,0.5915,0.1585,0.5762,MEDIUM,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-170,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,28,LOSS,,,,,,,,,,,
08937c7231a9a619:points:20.5:over,08937c7231a9a619,Cooper Flagg,points,over,20.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,27.15,0.7001,0.7805,0.5125,0.1567,0.4002,LOW,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-119,,,,.cache/runs/picks_filtered_be5463df0c6e46cc83dd56830eae1619.csv,2025-12-22,16,LOSS,,,,,,,,,,,
