prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game
e8e371aa543245b3:threes:2.5:over,e8e371aa543245b3,VJ Edgecombe,threes,over,2.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,7,False,3.46,0.4209,0.8322,0.5496,0.3658,0.3658,158,-205,0.0333,0.13,LOW,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'expected_usage': 0.9641, 'team_usage': 1.035, 'injury_risk': 0.99, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.96), usage boost (injuries), injury caution, extra rest, soft defense, high variance",3.0,2.3,2.2,UP,0.9486832980505138,0.4,0.3333333333333333,4,2,1,3,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Quentin Grimes (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Dominick Barlow (Injury/Illness - N/a; Illness),Usage up; Expected usage: Joel Embiid RETURN x0.96; Teammates OUT: 2; Teammates Q: 1; Player status: PROBABLE,0.9640884316076298,Joel Embiid RETURN x0.96,OVER,158,0.0597,0.0,0.0,1.1,1.08,0.3795,,,-120,120,0.65,,threes,0.3,0.3,PROBABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766786834.0246358,odds_api,PHI @ CHI
3b09314818626f62:pra:26.5:over,3b09314818626f62,Anthony Black,pra,over,26.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,32.29,0.5405,0.8618,0.6786,0.4812,0.4812,-104,-122,0.0307,0.3573,LOW,"{'minutes_trend': 1.1079, 'usage_trend': 1.01, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",29.0,27.4,26.066666666666666,UP,5.316640543300503,0.7,0.5333333333333333,4,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Teammates OUT: 5,1.0,,OVER,-104,0.0594,0.0,0.0,1.05,1.0,0.2006,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,CHA @ ORL
8e899df2ab8672fc:pra:41.5:over,8e899df2ab8672fc,Deni Avdija,pra,over,41.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,50.96,0.5536,0.9083,0.7022,0.4899,0.4899,-110,-120,0.0298,0.364,LOW,"{'minutes_trend': 1.067, 'usage_trend': 1.0245, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace, market divergence",40.4,40.1,40.333333333333336,FLAT,7.1094616142465,0.5,0.5333333333333333,-2,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,-110,0.0693,0.0,0.0,1.05,1.0,0.1713,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,LAC @ POR
ae90d97d37441694:threes:1.5:over,ae90d97d37441694,Tyus Jones,threes,over,1.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,1.71,0.3619,0.5741,0.4722,0.3147,0.3147,200,-265,0.0286,0.16,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.108, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",1.6,1.2,1.0,UP,1.1352924243950933,0.2,0.2,1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,200,0.0594,0.0,0.0,1.1,1.15,0.7569,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,CHA @ ORL
e8e371aa543245b3:pra:23.5:over,e8e371aa543245b3,VJ Edgecombe,pra,over,23.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,7,False,37.45,0.589,0.9617,0.7293,0.5289,0.5289,-128,100,0.0276,0.3628,LOW,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'expected_usage': 0.9641, 'team_usage': 1.035, 'injury_risk': 0.99, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.96), usage boost (injuries), injury caution, extra rest, soft defense, market divergence",30.8,24.9,24.333333333333332,UP,7.880355321938218,0.5,0.5333333333333333,4,2,1,3,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Quentin Grimes (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Dominick Barlow (Injury/Illness - N/a; Illness),Usage up; Expected usage: Joel Embiid RETURN x0.96; Teammates OUT: 2; Teammates Q: 1; Player status: PROBABLE,0.9640884316076298,Joel Embiid RETURN x0.96,OVER,-128,0.0614,0.0,0.0,1.05,1.08,0.3353,,,-120,120,0.65,,pra,0.507397,0.241351,PROBABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766786834.0246358,odds_api,PHI @ CHI
d1fb36bbd833e915:pra:33.5:over,d1fb36bbd833e915,Shaedon Sharpe,pra,over,33.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,40.54,0.5576,0.8879,0.6918,0.5,0.5,-114,-114,0.0248,0.3837,LOW,"{'minutes_trend': 1.0719, 'usage_trend': 1.0394, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace",32.6,31.0,29.8,UP,5.792715732327589,0.4,0.4,-3,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,-114,0.0654,0.0,0.0,1.05,1.0,0.1729,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,LAC @ POR
5f14e644f6af651b:threes:1.5:over,5f14e644f6af651b,Kris Dunn,threes,over,1.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,LAC,POR,False,4,False,2.7,0.4271,0.8139,0.5442,0.3769,0.3769,148,-200,0.0238,0.16,LOW,"{'minutes_trend': 1.0265, 'usage_trend': 1.141, 'team_usage': 1.075, 'rest': 1.02, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, slow pace, high variance",2.8,1.6,1.4666666666666666,UP,1.3498971154211057,0.5,0.4666666666666667,5,5,0,0,Ivica Zubac (Injury/Illness - Left Ankle; Sprain); Chris Paul (Not With Team); Derrick Jones Jr. (Injury/Illness - Right Knee; Sprain); RayJ Dennis (G League - Two-Way); Bradley Beal (Injury/Illness - Left Hip; Fracture),,,Usage up; Teammates OUT: 5,1.0,,OVER,148,0.0699,0.0,0.0,1.1,1.15,0.8999,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,LAC @ POR
659af3acc1931730:pra:14.5:under,659af3acc1931730,Pelle Larsson,pra,under,14.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,18,False,7.75,0.5368,0.8188,0.6568,0.4854,0.4854,-120,-106,0.0223,0.2666,LOW,"{'minutes_trend': 0.85, 'usage_trend': 0.85, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",6.4,12.6,14.8,DOWN,7.411702458499891,0.6,0.4666666666666667,6,5,0,0,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,,Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,UNDER,-106,0.06,0.0,0.0,1.05,1.15,0.5112,,,-120,120,0.65,,pra,0.507397,0.241351,AVAILABLE,NBA Official Report,Injury/Illness - Left Ankle; Sprain,1766786834.0246358,odds_api,MIA @ ATL
440168766d15343b:pra:24.5:over,440168766d15343b,Kon Knueppel,pra,over,24.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,34.95,0.5708,0.8889,0.6924,0.5188,0.5188,-122,-104,0.0213,0.3847,LOW,"{'minutes_trend': 1.0138, 'usage_trend': 1.0531, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",30.8,30.3,28.733333333333334,UP,8.56413711032492,0.6,0.6,-2,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage up; Teammates OUT: 6,1.0,,OVER,-122,0.0594,0.0,0.0,1.05,1.08,0.3496,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,CHA @ ORL
4e45d282ab40fb92:pra:25.5:over,4e45d282ab40fb92,Cam Spencer,pra,over,25.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MEM,MIL,True,4,False,31.69,0.5472,0.8388,0.6669,0.4958,0.4958,-111,-115,0.0211,0.3339,LOW,"{'minutes_trend': 1.15, 'usage_trend': 0.9092, 'expected_usage': 1.028, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Ja Morant RETURN x1.03), usage boost (injuries), extra rest, home, soft defense",30.0,26.3,24.533333333333335,UP,6.254775952999614,0.7,0.5333333333333333,5,6,2,0,Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery),Ja Morant (Injury/Illness - Left Ankle; Sprain); Cedric Coward (Injury/Illness - Left Heel; Soreness),,Usage down; Expected usage: Ja Morant RETURN x1.03; Teammates OUT: 6; Teammates Q: 2,1.0280423330593607,Ja Morant RETURN x1.03,OVER,-111,0.061,0.0,0.0,1.05,1.0,0.2453,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,MIL @ MEM
fefc8e5721ae8522:pra:22.5:over,fefc8e5721ae8522,Wendell Carter Jr,pra,over,22.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,30.22,0.575,0.8929,0.6944,0.5239,0.5239,-125,-102,0.0195,0.3888,LOW,"{'minutes_trend': 1.0615, 'usage_trend': 1.1121, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",24.0,22.0,22.0,UP,6.2182527020592095,0.4,0.3333333333333333,-2,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,-125,0.0605,0.0,0.0,1.05,1.0,0.2764,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,CHA @ ORL
d3db177138d369cc:pra:23.5:over,d3db177138d369cc,Kyle Kuzma,pra,over,23.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MIL,MEM,False,4,False,32.07,0.5606,0.8599,0.6777,0.5104,0.5104,-118,-108,0.0193,0.3554,LOW,"{'minutes_trend': 1.1369, 'usage_trend': 1.0955, 'team_usage': 1.06, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",26.0,21.4,21.333333333333332,UP,7.933053216343208,0.4,0.4,2,4,0,0,Gary Trent Jr. (Injury/Illness - Left Calf; Contusion); Taurean Prince (Injury/Illness - Neck; Surgery); Giannis Antetokounmpo (Injury/Illness - Right Calf; Strain); Alex Antetokounmpo (G League - Two-Way),,,Usage up; Teammates OUT: 4,1.0,,OVER,-118,0.0605,0.0,0.0,1.05,1.08,0.3376,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,MIL @ MEM
776947d150358207:assists:1.5:over,776947d150358207,Sam Hauser,assists,over,1.5,9cafdf413bd8f5b8971a72a3e7452df6,IND,BOS,2025-12-27T00:10:00Z,BOS,IND,False,5,False,1.43,0.3558,0.4751,0.4425,0.3187,0.3187,196,-260,0.018,0.17,LOW,"{'minutes_trend': 0.8829, 'usage_trend': 1.15, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace, high variance",1.2,1.2,1.4666666666666666,FLAT,1.1352924243950933,0.3,0.4,-2,5,0,0,Chris Boucher (Personal Reasons); Amari Williams (G League - Two-Way); Jayson Tatum (Injury/Illness - Right Achilles; Repair); Max Shulga (G League - Two-Way); Ron Harper Jr. (G League - Two-Way),,,Usage up; Teammates OUT: 5,1.0,,OVER,196,0.0601,0.0,0.0,1.0,1.15,0.7569,,,-120,120,0.65,,assists,0.3,0.3,,,,1766786834.0246358,odds_api,BOS @ IND
6528127ba219e939:pra:33.5:over,6528127ba219e939,Lauri Markkanen,pra,over,33.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,5,False,41.93,0.5562,0.8511,0.6732,0.5061,0.5061,-118,-112,0.0149,0.3464,LOW,"{'minutes_trend': 0.9756, 'usage_trend': 1.0422, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace",39.0,35.2,37.53333333333333,UP,8.093893445747302,0.6,0.6666666666666666,3,4,0,0,Elijah Harkless (G League - Two-Way); Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction); John Tonje (G League - Two-Way),,,Teammates OUT: 4,1.0,,OVER,-118,0.0696,0.0,0.0,1.05,1.0,0.2416,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,DET @ UTA
