prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game
d1fb36bbd833e915:threes:2.5:over,d1fb36bbd833e915,Shaedon Sharpe,threes,over,2.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,3.19,0.4204,0.669,0.5007,0.3859,0.3859,142,-192,0.0071,0.16,LOW,"{'minutes_trend': 1.0719, 'usage_trend': 1.0394, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace, high variance",2.8,2.4,1.9333333333333333,UP,1.577621275493231,0.4,0.3333333333333333,-3,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,142,0.0708,0.0,0.0,1.1,1.15,0.631,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,LAC @ POR
8f000e294202436b:pra:42.5:over,8f000e294202436b,Jalen Johnson,pra,over,42.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,50.11,0.5416,0.7637,0.6289,0.5042,0.5042,-115,-111,0.0067,0.2577,LOW,"{'minutes_trend': 0.973, 'usage_trend': 1.0574, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",46.0,49.2,46.4,FLAT,10.591401124392267,0.7,0.6666666666666666,2,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage up; Teammates OUT: 3; Teammates Q: 3,1.0,,OVER,-115,0.061,0.0,0.0,1.05,1.0,0.2492,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,MIA @ ATL
938d8e1c6776330d:pra:24.5:under,938d8e1c6776330d,Andrew Wiggins,pra,under,24.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,18.71,0.5367,0.7506,0.6222,0.5,0.5,-113,-113,0.0062,0.2445,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",17.6,22.5,22.4,DOWN,8.553751613570894,0.8,0.7333333333333333,8,5,0,0,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,,Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,UNDER,-113,0.061,0.0,0.0,1.05,1.08,0.3491,,,-120,120,0.65,,pra,0.507397,0.241351,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766786834.0246358,odds_api,MIA @ ATL
650d10f8fbd660d6:threes:1.5:over,650d10f8fbd660d6,Zaccharie Risacher,threes,over,1.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,2.34,0.4408,0.7038,0.5111,0.4106,0.4106,130,-166,0.006,0.16,LOW,"{'minutes_trend': 0.9405, 'usage_trend': 1.1241, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",2.4,1.3,1.4,UP,1.5670212364724214,0.4,0.4,3,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage up; Teammates OUT: 3; Teammates Q: 3,1.0,,OVER,130,0.0588,0.0,0.0,1.1,1.15,1.0447,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,MIA @ ATL
facb6803046eab5c:pra:25.5:over,facb6803046eab5c,Brandon Miller,pra,over,25.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,32.75,0.5504,0.7735,0.6338,0.5146,0.5146,-120,-106,0.0049,0.2677,LOW,"{'minutes_trend': 1.1103, 'usage_trend': 0.924, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",31.2,27.2,25.642857142857142,UP,9.65861733836106,0.6,0.5,1,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage down; Teammates OUT: 6,1.0,,OVER,-120,0.06,0.0,0.0,1.05,1.08,0.3788,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,CHA @ ORL
650d10f8fbd660d6:rebounds:3.5:over,650d10f8fbd660d6,Zaccharie Risacher,rebounds,over,3.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,4.0,0.4145,0.5984,0.4795,0.3866,0.3866,144,-186,0.0046,0.17,LOW,"{'minutes_trend': 0.9405, 'usage_trend': 1.1241, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",3.8,3.4,3.2666666666666666,UP,2.0110804171997807,0.3,0.26666666666666666,1,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage up; Teammates OUT: 3; Teammates Q: 3,1.0,,OVER,144,0.0602,0.0,0.0,0.95,1.15,0.5746,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api,MIA @ ATL
ce02a0a873b2f402:pra:16.5:over,ce02a0a873b2f402,Carlton Carrington,pra,over,16.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,WAS,TOR,True,4,False,22.08,0.5302,0.7271,0.6103,0.4958,0.4958,-111,-115,0.0041,0.1875,LOW,"{'minutes_trend': 1.1411, 'usage_trend': 0.9381, 'team_usage': 1.035, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, high variance",22.0,21.6,18.666666666666668,UP,9.240009620004612,0.6,0.4,-1,2,1,0,Cam Whitmore (Injury/Illness - Right Shoulder; Deep Vein Thrombosis); Corey Kispert (Injury/Illness - Left Hamstring; Tightness),Justin Champagnie (Injury/Illness - N/a; illness),,Usage down; Teammates OUT: 2; Teammates Q: 1,1.0,,OVER,-111,0.061,0.0,0.0,1.05,1.15,0.56,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,TOR @ WAS
56366070652c315d:pra:27.5:over,56366070652c315d,Derrick White,pra,over,27.5,9cafdf413bd8f5b8971a72a3e7452df6,IND,BOS,2025-12-27T00:10:00Z,BOS,IND,False,5,False,34.33,0.5521,0.7656,0.6298,0.5188,0.5188,-122,-104,0.0025,0.2596,LOW,"{'minutes_trend': 1.0, 'usage_trend': 1.056, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace",30.6,31.6,30.266666666666666,FLAT,9.430447143870397,0.7,0.6666666666666666,1,5,0,0,Chris Boucher (Personal Reasons); Amari Williams (G League - Two-Way); Jayson Tatum (Injury/Illness - Right Achilles; Repair); Max Shulga (G League - Two-Way); Ron Harper Jr. (G League - Two-Way),,,Usage up; Teammates OUT: 5,1.0,,OVER,-122,0.0594,0.0,0.0,1.05,1.08,0.3429,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,BOS @ IND
362deb2fd051446a:pra:39.5:over,362deb2fd051446a,Paolo Banchero,pra,over,39.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,48.8,0.5478,0.7565,0.6252,0.5146,0.5146,-120,-106,0.0023,0.2504,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0597, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",38.0,30.5,32.86666666666667,UP,13.377011790547412,0.4,0.4,-1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,-120,0.06,0.0,0.0,1.05,1.08,0.3387,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,CHA @ ORL
195708c325c4c735:pra:42.5:over,195708c325c4c735,Jaylen Brown,pra,over,42.5,9cafdf413bd8f5b8971a72a3e7452df6,IND,BOS,2025-12-27T00:10:00Z,BOS,IND,False,5,False,44.96,0.5166,0.686,0.5894,0.4854,0.4854,-106,-120,0.0021,0.2,LOW,"{'minutes_trend': 1.0038, 'usage_trend': 0.9593, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace",43.2,45.6,43.86666666666667,DOWN,5.081557066709201,0.7,0.6,-1,5,0,0,Chris Boucher (Personal Reasons); Amari Williams (G League - Two-Way); Jayson Tatum (Injury/Illness - Right Achilles; Repair); Max Shulga (G League - Two-Way); Ron Harper Jr. (G League - Two-Way),,,Teammates OUT: 5,1.0,,OVER,-106,0.06,0.0,0.0,1.05,0.9,0.1196,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,BOS @ IND
86c3c54ce38bd221:rebounds:3.5:over,86c3c54ce38bd221,Khris Middleton,rebounds,over,3.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,WAS,TOR,True,4,False,4.31,0.4365,0.6562,0.4969,0.4106,0.4106,130,-166,0.0017,0.17,LOW,"{'minutes_trend': 1.0027, 'usage_trend': 1.15, 'team_usage': 1.035, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, high variance",3.4,3.9,3.8666666666666667,FLAT,2.0248456731316584,0.5,0.4,-3,2,1,0,Cam Whitmore (Injury/Illness - Right Shoulder; Deep Vein Thrombosis); Corey Kispert (Injury/Illness - Left Hamstring; Tightness),Justin Champagnie (Injury/Illness - N/a; illness),,Usage up; Teammates OUT: 2; Teammates Q: 1,1.0,,OVER,130,0.0588,0.0,0.0,0.95,1.15,0.5785,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api,TOR @ WAS
440168766d15343b:points:17.5:over,440168766d15343b,Kon Knueppel,points,over,17.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,25.34,0.4964,0.8843,0.5653,0.4669,0.4669,102,-130,0.0014,0.2,LOW,"{'minutes_trend': 1.0138, 'usage_trend': 1.0531, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",23.0,21.4,20.4,UP,6.552353266829662,0.8,0.7333333333333333,6,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage up; Teammates OUT: 6,1.0,,OVER,102,0.0603,0.0,0.0,1.0,1.08,0.3744,,,-120,120,0.65,,points,0.3,0.3,,,,1766786834.0246358,odds_api,CHA @ ORL
e3ae9d94a2714cb0:pra:15.5:over,e3ae9d94a2714cb0,Anfernee Simons,pra,over,15.5,9cafdf413bd8f5b8971a72a3e7452df6,IND,BOS,2025-12-27T00:10:00Z,BOS,IND,False,5,False,17.92,0.5274,0.7088,0.601,0.4958,0.4958,-111,-115,0.0013,0.202,LOW,"{'minutes_trend': 1.0634, 'usage_trend': 0.9984, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace",13.8,15.8,17.0,DOWN,4.391911757866827,0.6,0.6,-1,5,0,0,Chris Boucher (Personal Reasons); Amari Williams (G League - Two-Way); Jayson Tatum (Injury/Illness - Right Achilles; Repair); Max Shulga (G League - Two-Way); Ron Harper Jr. (G League - Two-Way),,,Teammates OUT: 5,1.0,,OVER,-111,0.061,0.0,0.0,1.05,1.0,0.2833,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,BOS @ IND
362deb2fd051446a:rebounds:8.5:over,362deb2fd051446a,Paolo Banchero,rebounds,over,8.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,12.82,0.4866,0.8506,0.5552,0.4572,0.4572,106,-136,0.0012,0.184,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0597, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",10.2,7.8,8.266666666666667,UP,4.157990967870047,0.4,0.5333333333333333,-1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,106,0.0617,0.0,0.0,0.95,1.15,0.4892,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api,CHA @ ORL
8e899df2ab8672fc:threes:2.5:over,8e899df2ab8672fc,Deni Avdija,threes,over,2.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,2.57,0.3949,0.5289,0.4587,0.3676,0.3676,154,-210,0.0012,0.18,LOW,"{'minutes_trend': 1.067, 'usage_trend': 1.0245, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace, high variance",1.8,1.9,2.1333333333333333,FLAT,0.8755950357709131,0.3,0.3333333333333333,-2,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,154,0.0711,0.0,0.0,1.1,1.08,0.3502,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,LAC @ POR
4656f7fbee62aa19:pra:25.5:under,4656f7fbee62aa19,Collin Gillespie,pra,under,25.5,5e1430770a9b7fe84382e690d0a936c3,NOP,PHX,2025-12-27T01:00:00Z,PHX,NOP,False,4,False,20.36,0.5359,0.7266,0.61,0.5042,0.5042,-111,-115,0.001,0.2201,LOW,"{'minutes_trend': 1.0148, 'usage_trend': 0.85, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense",21.6,23.7,24.933333333333334,DOWN,8.525126261691247,0.5,0.4666666666666667,-1,2,0,0,Jalen Green (Injury/Illness - Right Hamstring; Strain); Grayson Allen (Injury/Illness - Right Knee; Injury Management),,,Usage down; Teammates OUT: 2,1.0,,UNDER,-115,0.061,0.0,0.0,1.05,1.08,0.3343,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766786834.0246358,odds_api,PHX @ NOP
7248a5865a57d720:threes:2.5:over,7248a5865a57d720,Brandon Ingram,threes,over,2.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,TOR,WAS,False,4,False,2.81,0.4173,0.5779,0.4734,0.3933,0.3933,140,-180,0.0006,0.16,LOW,"{'minutes_trend': 0.9677, 'usage_trend': 0.9307, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance",3.4,2.6,2.466666666666667,UP,1.577621275493231,0.6,0.4666666666666667,-1,4,3,0,Jakob Poeltl (Injury/Illness - Back; Lower back - strain); Alijah Martin (G League - Two-Way); Chucky Hepburn (G League - Two-Way); RJ Barrett (Injury/Illness - Right Knee; Sprain),Collin Murray-Boyles (Injury/Illness - Illness; Illness); A.J. Lawson (G League - Two-Way); Scottie Barnes (Injury/Illness - N/a; Illness),,Usage down; Teammates OUT: 4; Teammates Q: 3,1.0,,OVER,140,0.0595,0.0,0.0,1.1,1.15,0.631,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api,TOR @ WAS
