player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,flags,player_status,context_quality
Marcus Smart,points,6.5,15.1,133.0,32.2,63,OVER,14.0,10.5,74,26,HOT,19,fanduel,-130,-130,-102,52.8,52.8,85.0,minutes: +7.6% | usage_rate: -1.0% | shot_volume: +8.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,39
Jamal Murray,threes,2.5,4.8,91.8,26.4,51,OVER,4.4,3.4,64,36,HOT,28,fanduel,-168,-168,126,58.6,58.6,85.0,opp_defense: -8.9% | location: +2.5% | pace: -0.3% | minutes: +2.2% | injury_boost: +5.0% | usage_rate: +1.9% | shot_volume: +6.2%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,25.0,HARD,,,INJ BOOST +5% | VOL UP,HEALTHY,96
Moses Moody,rebounds,2.5,4.5,80.6,24.2,58,OVER,3.8,3.3,64,36,NEUTRAL,28,fanduel,-160,-160,124,58.0,58.0,82.1,opp_defense: +9.1% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: +1.1%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,2.0,SMASH,,,SMASH SPOT,HEALTHY,80
Brandin Podziemski,assists,2.5,4.5,79.1,23.7,52,OVER,4.6,3.3,63,37,HOT,30,fanduel,-162,-162,126,58.3,58.3,82.0,opp_defense: -1.7% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: +1.8%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,17.0,NEUTRAL,,,,HEALTHY,80
Cooper Flagg,points,19.5,34.7,78.1,23.4,62,OVER,27.6,19.2,43,57,HOT,30,fanduel,-125,-125,-102,52.4,52.4,75.8,minutes: +10.0% | injury_boost: +8.0% | usage_rate: +0.9% | shot_volume: +8.0% | ts_regression: +1.8%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | VOL UP,HEALTHY,55
Cooper Flagg,assists,3.5,6.2,76.2,22.9,47,OVER,5.6,3.8,50,50,HOT,30,fanduel,-154,-154,120,57.2,57.2,80.0,minutes: +10.0% | injury_boost: +6.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,MINS UP | INJ BOOST +6%,HEALTHY,46
Josh Okogie,rebounds,2.5,4.3,71.1,21.3,50,OVER,3.6,3.0,63,37,NEUTRAL,27,fanduel,-158,-158,118,57.2,57.2,78.5,minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
Will Richard,points,4.5,7.5,66.0,19.8,48,OVER,7.6,8.1,72,28,HOT,25,fanduel,-122,-122,-104,51.9,51.9,71.7,rest: +2.0% | minutes: +3.0% | usage_rate: -1.9% | shot_volume: -8.0% | ts_regression: +5.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,LOW USG | VOL DOWN,HEALTHY,45
Luke Kornet,points,5.5,9.0,64.2,19.3,55,OVER,9.6,8.1,67,33,HOT,21,fanduel,-120,-120,-108,51.2,51.2,70.5,minutes: -5.3% | usage_rate: -2.9% | shot_volume: +8.0% | ts_regression: +1.6%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,,,NEUTRAL,,,MINS DOWN | LOW USG | VOL UP,HEALTHY,42
Shai Gilgeous-Alexander,threes,1.5,2.5,63.6,19.1,58,OVER,2.0,2.2,69,31,COLD,29,fanduel,-205,-205,154,63.1,63.1,82.1,opp_defense: -5.0% | location: +2.5% | pace: +0.1% | minutes: +4.3% | usage_rate: +3.7% | shot_volume: +8.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,SAS,21.0,HARD,,,HIGH USG | VOL UP,HEALTHY,83
Donte DiVincenzo,threes,2.5,4.1,62.6,18.8,60,OVER,3.6,3.1,70,30,HOT,30,fanduel,-172,-172,128,59.0,59.0,77.8,opp_defense: +2.0% | location: -2.0% | pace: -0.3% | minutes: +7.0% | usage_rate: -0.9% | shot_volume: +8.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,12.0,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,83
Nikola Jokic,threes,1.5,2.4,60.8,18.2,42,OVER,2.4,2.1,59,41,NEUTRAL,29,fanduel,-144,-144,108,55.1,55.1,73.3,opp_defense: -8.9% | location: +2.5% | pace: -0.3% | minutes: +0.2% | injury_boost: +5.0% | shot_volume: -0.3%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,25.0,HARD,,,INJ BOOST +5%,HEALTHY,93
Bruce Brown,rebounds,4.5,7.2,60.2,18.1,58,OVER,7.0,4.2,38,62,HOT,29,fanduel,-114,-114,-114,50.0,50.0,68.1,minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
Dylan Harper,assists,2.5,4.0,59.1,17.7,58,OVER,4.2,3.9,74,26,HOT,19,fanduel,-162,-162,126,58.3,58.3,76.0,minutes: -3.4%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,,,NEUTRAL,,,,HEALTHY,33
Reed Sheppard,threes,2.5,4.0,59.0,17.7,54,OVER,3.4,2.7,52,48,HOT,27,fanduel,102,102,-136,46.2,46.2,63.9,minutes: +10.0% | injury_boost: +5.0% | usage_rate: -0.3% | shot_volume: +8.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +5% | VOL UP,HEALTHY,52
Naji Marshall,points,12.5,19.1,52.6,15.8,43,OVER,16.6,13.7,53,47,HOT,30,fanduel,100,100,-128,47.1,47.1,62.9,opp_defense: -4.6% | location: -2.0% | pace: +0.1% | minutes: +10.0% | injury_boost: +8.0% | usage_rate: -1.1% | shot_volume: +4.1% | ts_regression: +2.1%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,GSW,28.0,TOUGH,,,TOUGH DEF | MINS UP | INJ BOOST +8% | VOL UP,HEALTHY,99
Tim Hardaway Jr,threes,2.5,3.8,51.1,15.3,56,OVER,3.8,2.7,34,66,HOT,29,fanduel,132,132,-178,40.2,40.2,55.6,minutes: +10.0% | injury_boost: +5.0% | usage_rate: -1.0% | shot_volume: -6.5%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,,,NEUTRAL,,,MINS UP | INJ BOOST +5% | VOL DOWN,HEALTHY,52
Reed Sheppard,points,12.5,18.7,50.0,15.0,58,OVER,15.2,13.3,41,59,HOT,27,fanduel,-118,-118,-112,50.6,50.6,65.6,minutes: +10.0% | injury_boost: +8.0% | usage_rate: -0.3% | shot_volume: +8.0% | ts_regression: -2.7%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | VOL UP,HEALTHY,55
Donte DiVincenzo,rebounds,3.5,5.2,49.1,14.7,47,OVER,5.6,4.3,70,30,HOT,30,fanduel,-144,-144,108,55.1,55.1,69.8,opp_defense: -6.5% | location: -2.0% | pace: -0.3% | minutes: +7.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,27.0,TOUGH,,,TOUGH DEF | MINS UP,HEALTHY,77
Luguentz Dort,threes,1.5,2.2,47.3,14.2,42,OVER,2.4,1.9,43,57,HOT,21,fanduel,-166,-166,130,58.9,58.9,73.1,opp_defense: -5.0% | location: +2.5% | pace: +0.1% | minutes: -10.0% | usage_rate: -2.1% | shot_volume: +8.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,SAS,21.0,HARD,,,MINS DOWN | LOW USG | VOL UP,HEALTHY,83
Stephen Curry,rebounds,4.5,6.6,46.4,13.9,61,OVER,6.0,4.2,43,57,HOT,21,fanduel,-113,-113,-113,50.0,50.0,63.9,opp_defense: +9.1% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: +5.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,2.0,SMASH,,,SMASH SPOT | MINS UP,HEALTHY,80
Jabari Smith Jr,threes,2.5,3.6,44.1,13.2,56,OVER,3.6,2.3,38,62,HOT,26,fanduel,148,148,-200,37.7,37.7,50.9,minutes: +10.0% | injury_boost: +5.0% | usage_rate: -0.6% | shot_volume: -4.7%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +5% | VOL DOWN,HEALTHY,52
Cason Wallace,assists,2.5,1.4,-42.0,12.6,47,UNDER,1.2,2.2,41,59,COLD,29,fanduel,-192,148,-192,62.0,62.0,74.6,opp_defense: -2.8% | location: +2.5% | pace: +0.1% | minutes: -1.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,SAS,19.0,NEUTRAL,,,,HEALTHY,77
Josh Okogie,points,5.5,7.8,41.7,12.5,58,OVER,7.6,6.8,67,33,HOT,27,fanduel,-130,-130,-102,52.8,52.8,65.3,minutes: +10.0% | injury_boost: +8.0% | usage_rate: -2.3% | shot_volume: -8.0% | ts_regression: +3.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | LOW USG | VOL DOWN,HEALTHY,55
LeBron James,points,19.5,27.5,40.9,12.3,49,OVER,26.4,20.4,50,50,HOT,12,fanduel,-122,-122,-108,51.4,51.4,63.7,opp_defense: -1.1% | location: +2.5% | pace: -2.0% | minutes: +1.4% | usage_rate: +1.8% | shot_volume: +8.0% | ts_regression: +1.6%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,HOU,17.0,NEUTRAL,,,VOL UP,HEALTHY,76
Kevin Durant,rebounds,4.5,6.3,40.2,12.1,46,OVER,6.6,5.0,60,40,HOT,25,fanduel,-146,-146,110,55.5,55.5,67.6,opp_defense: -7.9% | location: -2.0% | pace: -2.0% | minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,LAL,29.0,TOUGH,,,TOUGH DEF | MINS UP | INJ BOOST +4%,HEALTHY,90
Donte DiVincenzo,assists,3.5,4.9,39.1,11.7,64,OVER,4.6,3.8,63,37,HOT,30,fanduel,-125,-125,-106,51.9,51.9,63.7,opp_defense: +3.5% | location: -2.0% | pace: -0.3% | minutes: +7.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,8.0,GOOD,,,MINS UP,HEALTHY,77
Jonas Valanciunas,points,8.5,11.8,39.0,11.7,64,OVER,9.6,8.7,41,59,HOT,29,fanduel,102,102,-136,46.2,46.2,57.9,opp_defense: -2.3% | location: +2.5% | pace: -0.3% | minutes: +10.0% | injury_boost: +8.0% | shot_volume: +4.9%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,23.0,HARD,,,PROBABLE | MINS UP | INJ BOOST +8% | VOL UP,PROBABLE,93
Draymond Green,assists,5.5,3.4,-38.8,11.7,51,UNDER,2.6,5.1,46,54,COLD,24,fanduel,-164,128,-164,58.6,58.6,70.3,opp_defense: -1.7% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: -10.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,17.0,NEUTRAL,,,MINS DOWN,HEALTHY,80
Cason Wallace,threes,1.5,0.9,-38.6,11.6,46,UNDER,0.8,1.4,45,55,COLD,29,fanduel,-210,162,-210,64.0,64.0,75.5,opp_defense: -5.0% | location: +2.5% | pace: +0.1% | minutes: -1.0% | usage_rate: -2.2% | shot_volume: -8.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,SAS,21.0,HARD,,,LOW USG | VOL DOWN,HEALTHY,83
Devin Vassell,rebounds,3.5,4.8,37.5,11.2,54,OVER,5.8,4.1,48,52,HOT,29,fanduel,-128,-128,100,52.9,52.9,64.1,opp_defense: -1.2% | location: -2.0% | pace: +0.1% | minutes: -9.3%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,OKC,18.0,NEUTRAL,,,MINS DOWN,HEALTHY,77
Austin Reaves,points,19.5,26.6,36.5,10.9,64,OVER,24.6,27.3,77,23,COLD,22,fanduel,102,102,-136,46.2,46.2,57.2,opp_defense: -1.1% | location: +2.5% | pace: -2.0% | minutes: -3.3% | usage_rate: +2.2% | shot_volume: +8.0% | ts_regression: -2.5%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,HOU,17.0,NEUTRAL,,,VOL UP,HEALTHY,86
Jamal Murray,points,25.5,34.8,36.4,10.9,58,OVER,28.2,25.1,39,61,NEUTRAL,28,fanduel,-112,-112,-118,49.4,49.4,60.3,opp_defense: -2.3% | location: +2.5% | pace: -0.3% | minutes: +2.2% | injury_boost: +8.0% | usage_rate: +1.9% | shot_volume: +6.2% | ts_regression: +1.8%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,23.0,HARD,,,INJ BOOST +8% | VOL UP,HEALTHY,99
Isaiah Joe,threes,1.5,2.0,35.7,10.7,58,OVER,2.4,2.8,81,19,NEUTRAL,21,fanduel,100,100,-128,47.1,47.1,57.8,minutes: -10.0% | usage_rate: -0.5% | shot_volume: -8.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,,,NEUTRAL,,,MINS DOWN | VOL DOWN,HEALTHY,39
Quinten Post,pra,16.5,22.2,34.2,10.3,50,OVER,19.8,13.9,43,57,HOT,30,fanduel,-113,-113,-113,50.0,50.0,60.3,rest: +2.0% | minutes: +10.0% | usage_rate: -0.7% | shot_volume: +8.0% | ts_regression: -5.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,45
Jabari Smith Jr,rebounds,6.5,8.7,33.5,10.1,56,OVER,7.6,6.8,54,46,HOT,26,fanduel,-125,-125,-106,51.9,51.9,62.0,minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
Naji Marshall,steals,1.5,1.0,-33.6,10.1,42,UNDER,0.8,1.1,30,70,COLD,30,fanduel,-186,138,-186,60.8,60.8,70.8,opp_defense: -4.6% | location: -2.0% | pace: +0.1% | minutes: +10.0% | injury_boost: +5.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,GSW,28.0,TOUGH,,,TOUGH DEF | MINS UP | INJ BOOST +5%,HEALTHY,90
Jabari Smith Jr,points,14.5,19.3,33.3,10.0,64,OVER,16.8,15.7,65,35,NEUTRAL,26,fanduel,-132,-132,100,53.2,53.2,63.2,minutes: +10.0% | injury_boost: +8.0% | usage_rate: -0.6% | shot_volume: -4.7%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | VOL DOWN,HEALTHY,52
Bruce Brown,points,8.5,11.2,31.2,9.4,55,OVER,10.6,7.4,41,59,HOT,29,fanduel,-130,-130,-102,52.8,52.8,62.2,minutes: +10.0% | injury_boost: +8.0% | usage_rate: -2.0% | shot_volume: -8.0% | ts_regression: +5.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | LOW USG | VOL DOWN,HEALTHY,55
Stephon Castle,rebounds,5.5,3.8,-31.2,9.4,49,UNDER,3.0,5.3,50,50,COLD,20,fanduel,-142,112,-142,55.4,55.4,64.8,opp_defense: -1.2% | location: -2.0% | pace: +0.1% | minutes: -5.9%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,OKC,18.0,NEUTRAL,,,MINS DOWN,HEALTHY,77
P.J. Washington,rebounds,6.5,8.5,31.0,9.3,76,OVER,8.2,7.9,80,20,HOT,25,fanduel,-148,-148,116,56.3,56.3,65.6,opp_defense: +0.5% | location: -2.0% | rest: +2.0% | pace: +0.1% | injury_boost: +4.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,GSW,15.0,NEUTRAL,,,QUESTIONABLE | INJ BOOST +4%,QUESTIONABLE,85
Jaden McDaniels,steals,1.5,1.0,-30.9,9.3,40,UNDER,0.8,1.1,36,64,COLD,28,fanduel,-220,162,-220,64.3,64.3,73.6,opp_defense: +0.2% | location: -2.0% | rest: +3.0% | pace: -0.3% | minutes: -3.1%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,12.0,NEUTRAL,,,PROBABLE | WELL RESTED,PROBABLE,80
Anthony Davis,pra,38.5,50.2,30.3,9.1,63,OVER,42.2,36.1,53,47,HOT,15,fanduel,-120,-120,-106,51.5,51.5,60.5,opp_defense: -3.6% | location: -2.0% | pace: +0.1% | minutes: +10.0% | injury_boost: +7.0% | usage_rate: +2.3% | shot_volume: +8.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,GSW,,NEUTRAL,,,MINS UP | INJ BOOST +7% | VOL UP,HEALTHY,96
Mike Conley,assists,2.5,3.3,30.4,9.1,46,OVER,3.0,3.3,58,42,NEUTRAL,26,fanduel,-146,-146,110,55.5,55.5,64.6,opp_defense: +3.5% | location: -2.0% | pace: -0.3% | minutes: +5.4%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,8.0,GOOD,,,MINS UP,HEALTHY,77
Devin Vassell,threes,2.5,3.3,30.5,9.1,43,OVER,3.2,2.8,55,45,NEUTRAL,29,fanduel,120,120,-154,42.8,42.8,52.0,opp_defense: +4.4% | location: -2.0% | pace: +0.1% | minutes: -9.3% | usage_rate: -0.3% | shot_volume: +7.8%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,OKC,10.0,GOOD,,,MINS DOWN | VOL UP,HEALTHY,83
Amen Thompson,rebounds,6.5,8.5,30.0,9.0,43,OVER,8.0,7.3,63,37,NEUTRAL,27,fanduel,-110,-110,-120,49.0,49.0,58.0,opp_defense: -7.9% | location: -2.0% | pace: -2.0% | minutes: +9.8% | injury_boost: +4.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,LAL,29.0,TOUGH,,,TOUGH DEF | MINS UP | INJ BOOST +4%,HEALTHY,90
