player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Stephen Curry,rebounds,3.5,4.4,25.9,7.0,59.0,OVER,4.0,3.7,61.0,39.0,HOT,18,fanduel,-146,-146,114,59.3,55.9,66.3,Home: 1.11x | Rested: 1.03x,False,4,1.04,STABLE,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Paolo Banchero,points,23.5,15.2,-35.2,6.9,59.0,UNDER,14.4,20.5,50.0,50.0,COLD,16,fanduel,-113,-113,-113,53.1,50.0,60.0,Rested: 1.03x | Mins: 0.85x,False,5,0.78,DOWN,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Brandin Podziemski,points,10.5,13.0,23.5,6.8,68.0,OVER,10.2,12.1,56.0,44.0,COLD,27,fanduel,-113,-113,-113,53.1,50.0,59.8,Home: 1.10x | Rested: 1.03x,False,4,0.91,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Collin Gillespie,threes,2.5,3.1,23.8,6.6,62.0,OVER,2.8,2.8,58.0,42.0,NEUTRAL,26,fanduel,-125,-125,-102,55.6,52.4,62.2,Home: 0.86x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Rui Hachimura,rebounds,4.5,3.6,-19.4,6.6,70.0,UNDER,4.8,3.9,33.0,67.0,HOT,24,fanduel,-160,124,-160,61.5,58.0,68.1,Home: 0.82x | Rested: 1.03x,False,4,0.98,STABLE,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,UTA,4,SMASH,25,3,NO_NEWS,,,No player news found,
Donovan Clingan,points,9.5,8.5,-10.0,6.2,64.0,UNDER,8.4,9.7,36.0,64.0,COLD,22,fanduel,-118,-108,-118,54.1,51.0,60.3,Home: 0.85x | Rested: 1.03x,False,4,0.97,STABLE,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Dennis Schroder,rebounds,2.5,2.8,13.4,6.2,59.0,OVER,3.2,3.5,63.0,37.0,COLD,19,fanduel,-125,-125,-102,55.6,52.4,61.8,Rested: 1.03x | Mins: 0.86x,False,4,0.86,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Malik Monk,points,14.5,16.6,14.4,6.1,63.0,OVER,12.4,13.0,61.0,39.0,NEUTRAL,23,fanduel,-118,-118,-108,54.1,51.0,60.3,Home: 1.24x | Rested: 1.03x,False,4,0.94,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Ausar Thompson,rebounds,6.5,6.3,-3.1,6.0,66.0,UNDER,5.6,6.0,41.0,59.0,COLD,22,fanduel,118,-158,118,45.9,42.8,51.9,Home: 1.18x | Rested: 1.03x | Mins: 0.89x,False,3,0.89,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Quinten Post,points,8.5,14.9,75.2,6.0,54.0,OVER,13.6,7.8,48.0,52.0,HOT,27,fanduel,-113,-113,-113,53.1,50.0,59.1,Home: 1.13x | Rested: 1.03x | Mins: 1.15x,False,4,1.48,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Jerami Grant,threes,2.5,3.8,51.0,5.9,58.0,OVER,3.4,2.5,48.0,52.0,HOT,25,fanduel,-113,-113,-113,53.1,50.0,59.0,Home: 1.21x | Rested: 1.03x,False,4,1.1,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Moses Moody,threes,1.5,1.9,28.3,5.5,52.0,OVER,1.8,2.4,56.0,44.0,COLD,25,fanduel,-142,-142,112,58.7,55.4,64.2,Home: 1.10x | Rested: 1.03x | Mins: 0.87x,False,4,0.87,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Moses Moody,points,9.5,10.8,13.4,5.3,60.0,OVER,11.4,11.6,56.0,44.0,NEUTRAL,25,fanduel,-102,-102,-125,50.5,47.6,55.8,Home: 1.07x | Rested: 1.03x | Mins: 0.87x,False,4,0.87,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Jalen Duren,points,15.5,16.9,9.0,5.2,71.0,OVER,12.4,18.0,65.0,35.0,COLD,23,fanduel,-130,-130,-102,56.5,52.8,61.7,Home: 1.12x | Rested: 1.03x,False,3,0.96,STABLE,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Toumani Camara,pra,21.5,18.1,-15.9,5.0,74.0,UNDER,18.2,20.3,46.0,54.0,COLD,26,fanduel,-102,-125,-102,50.5,47.6,55.5,Rested: 1.03x | Mins: 0.88x,False,4,0.88,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Collin Gillespie,assists,5.5,4.9,-10.1,5.0,70.0,UNDER,4.2,4.8,31.0,69.0,COLD,26,fanduel,-162,126,-162,61.8,58.3,66.8,Home: 0.94x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Jerami Grant,rebounds,3.5,5.1,44.3,5.0,66.0,OVER,5.2,3.8,48.0,52.0,HOT,25,fanduel,-122,-122,-104,55.0,51.9,59.9,Home: 1.07x | Rested: 1.03x,False,4,1.1,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Jamal Murray,rebounds,3.5,4.7,35.6,5.0,64.0,OVER,4.0,4.4,54.0,46.0,COLD,24,fanduel,-154,-154,120,60.6,57.2,65.7,Home: 1.17x | Rested: 1.03x,False,3,1.02,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,,
Cade Cunningham,rebounds,6.5,5.8,-10.9,4.9,65.0,UNDER,4.4,6.0,39.0,61.0,COLD,23,fanduel,-118,-112,-118,54.1,50.6,59.0,Rested: 1.03x,False,3,0.9,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,,
Tobias Harris,rebounds,5.5,4.8,-13.5,4.6,60.0,UNDER,5.2,5.1,38.0,62.0,NEUTRAL,16,fanduel,-136,102,-136,57.6,53.8,62.2,Home: 0.94x | Rested: 1.03x,False,3,0.95,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Buddy Hield,threes,1.5,1.8,22.1,4.6,45.0,OVER,2.0,1.5,48.0,52.0,HOT,27,fanduel,102,102,-130,49.5,46.7,54.1,Home: 0.86x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Devin Booker,points,25.5,20.6,-19.0,4.6,72.0,UNDER,20.4,25.1,48.0,52.0,COLD,23,fanduel,-106,-120,-106,51.5,48.5,56.1,Rested: 1.03x | Mins: 0.89x,False,4,0.89,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Jimmy Butler,assists,4.5,5.8,29.4,4.4,65.0,OVER,5.2,5.0,57.0,43.0,NEUTRAL,23,fanduel,-162,-162,126,61.8,58.3,66.2,Home: 1.06x | Rested: 1.03x,False,4,0.98,STABLE,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Dennis Schroder,assists,4.5,4.9,8.5,4.3,63.0,OVER,5.6,5.8,63.0,37.0,NEUTRAL,19,fanduel,-130,-130,102,56.5,53.3,60.8,Rested: 1.03x | Mins: 0.86x,False,4,0.86,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Russell Westbrook,points,15.5,14.2,-8.1,4.2,70.0,UNDER,14.6,13.8,38.0,62.0,HOT,26,fanduel,-122,-104,-122,55.0,51.9,59.1,Rested: 1.03x,False,4,1.08,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Royce O'Neale,assists,2.5,2.5,-1.0,4.2,56.0,UNDER,4.0,2.8,38.0,62.0,HOT,26,fanduel,-104,-122,-104,51.0,48.1,55.1,Home: 0.73x | Rested: 1.03x,False,4,0.92,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Royce O'Neale,rebounds,5.5,4.8,-12.9,4.1,72.0,UNDER,5.2,5.3,38.0,62.0,NEUTRAL,26,fanduel,-136,106,-136,57.6,54.3,61.8,Home: 0.88x | Rested: 1.03x,False,4,0.92,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,,
Dillon Brooks,assists,1.5,1.0,-34.0,4.1,45.0,UNDER,1.8,1.8,60.0,40.0,NEUTRAL,20,fanduel,104,-132,104,49.0,46.3,53.1,Home: 0.57x | Rested: 1.03x,False,4,0.95,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,,
Draymond Green,rebounds,6.5,7.6,17.2,3.8,63.0,OVER,7.6,6.2,48.0,52.0,HOT,21,fanduel,110,110,-140,47.6,44.9,51.5,Rested: 1.03x,False,4,0.94,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Isaiah Collier,pra,15.5,14.1,-8.9,3.8,56.0,UNDER,12.8,14.9,41.0,59.0,COLD,17,fanduel,-115,-111,-115,53.5,50.4,57.3,Home: 1.06x | Rested: 1.03x,False,3,0.94,DOWN,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,No player news found,
Oso Ighodaro,points,5.5,5.2,-6.3,3.8,53.0,UNDER,5.0,4.8,38.0,62.0,NEUTRAL,26,fanduel,-120,-106,-120,54.5,51.5,58.4,Home: 0.89x | Rested: 1.03x | Mins: 1.13x,False,4,1.13,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Brice Sensabaugh,threes,1.5,1.4,-4.6,3.8,52.0,UNDER,1.4,1.5,42.0,58.0,COLD,24,fanduel,-102,-125,-102,50.5,47.6,54.3,Rested: 1.03x,False,3,0.99,STABLE,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,No player news found,
Buddy Hield,rebounds,2.5,4.9,95.7,3.6,45.0,OVER,5.0,2.6,37.0,63.0,HOT,27,fanduel,112,112,-142,47.2,44.6,50.8,Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Brandon Williams,points,9.5,10.9,14.5,3.4,64.0,OVER,9.4,10.8,58.0,42.0,COLD,24,fanduel,-130,-130,-102,56.5,52.8,59.9,Rested: 1.03x,False,6,0.92,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DET,24,HARD,14,16,NO_NEWS,,,No player news found,
Draymond Green,points,8.5,8.4,-1.8,3.4,63.0,UNDER,8.8,8.3,38.0,62.0,HOT,21,fanduel,-113,-113,-113,53.1,50.0,56.5,Home: 0.94x | Rested: 1.03x,False,4,0.94,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,,
Rui Hachimura,points,13.5,10.6,-21.5,3.4,65.0,UNDER,10.6,13.3,50.0,50.0,COLD,24,fanduel,-113,-113,-113,53.1,50.0,56.5,Home: 0.91x | Rested: 1.03x,False,4,0.98,STABLE,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,UTA,4,SMASH,25,3,NO_NEWS,,,No player news found,
Tim Hardaway Jr,threes,2.5,2.2,-12.7,3.3,63.0,UNDER,2.2,2.4,32.0,68.0,COLD,25,fanduel,-188,146,-188,65.3,61.6,68.6,Home: 0.80x | Rested: 1.03x | Mins: 1.15x,False,3,1.15,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,,
Wendell Carter Jr,threes,1.5,0.9,-37.9,3.2,59.0,UNDER,1.0,1.2,40.0,60.0,COLD,25,fanduel,-230,176,-230,69.7,65.8,72.9,Home: 0.83x | Rested: 1.03x,False,5,1.04,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Russell Westbrook,threes,1.5,1.6,8.0,3.2,57.0,OVER,1.2,1.8,54.0,46.0,COLD,26,fanduel,102,102,-130,49.5,46.7,52.7,Home: 1.11x | Rested: 1.03x,False,4,1.08,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Collin Gillespie,rebounds,4.5,4.0,-11.1,3.1,69.0,UNDER,3.8,3.8,35.0,65.0,NEUTRAL,26,fanduel,-166,130,-166,62.4,58.9,65.5,Home: 0.95x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Kris Murray,points,5.5,6.7,22.3,3.1,57.0,OVER,3.8,5.5,50.0,50.0,COLD,24,fanduel,-118,-118,-108,54.1,51.0,57.2,Home: 1.35x | Rested: 1.03x,False,4,1.05,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,,
P.J. Washington,threes,1.5,2.1,42.9,3.0,43.0,OVER,1.8,1.5,41.0,59.0,HOT,22,fanduel,-106,-106,-125,51.5,48.1,54.5,Home: 1.11x | Rested: 1.03x,False,3,1.06,UP,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DET,24,HARD,14,16,NO_NEWS,,,No player news found,
Dillon Brooks,threes,2.5,2.5,-0.8,-3.1,60.0,UNDER,2.0,2.4,40.0,60.0,COLD,20,fanduel,-170,132,-170,63.0,59.4,59.9,Home: 1.13x | Rested: 1.03x,False,4,0.95,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Jerami Grant,assists,2.5,2.9,14.1,-3.1,59.0,OVER,3.2,2.6,44.0,56.0,HOT,25,fanduel,-125,-125,-102,55.6,52.4,52.4,Rested: 1.03x,False,4,1.1,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Caris LeVert,threes,1.5,1.4,-8.5,-3.6,48.0,UNDER,1.4,1.4,40.0,60.0,NEUTRAL,20,fanduel,-210,154,-210,67.7,63.2,64.2,Home: 0.88x | Rested: 1.03x,False,3,1.01,STABLE,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Devin Booker,assists,6.5,5.8,-11.5,-3.7,64.0,UNDER,5.8,6.7,61.0,39.0,COLD,23,fanduel,-102,-125,-102,50.5,47.6,46.8,Rested: 1.03x | Mins: 0.89x,False,4,0.89,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,,
Cade Cunningham,points,25.5,25.4,-0.5,-3.8,70.0,UNDER,23.2,27.1,52.0,48.0,COLD,23,fanduel,-110,-120,-110,52.4,49.0,48.6,Rested: 1.03x,False,3,0.9,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Precious Achiuwa,rebounds,5.5,6.4,16.0,-4.0,57.0,OVER,6.2,5.5,42.0,58.0,HOT,19,fanduel,-130,-130,102,56.5,53.3,52.5,Rested: 1.03x,False,4,0.91,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Wendell Carter Jr,rebounds,7.5,7.8,4.1,-4.2,71.0,OVER,7.8,7.6,52.0,48.0,NEUTRAL,25,fanduel,-146,-146,114,59.3,55.9,55.2,Rested: 1.03x,False,5,1.04,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,,
Cooper Flagg,threes,0.5,0.5,6.4,-4.3,47.0,OVER,0.4,0.8,58.0,42.0,COLD,26,fanduel,-192,-192,142,65.8,61.4,61.5,Home: 0.95x | Rested: 1.03x,False,3,1.01,STABLE,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DET,24,HARD,14,16,NO_NEWS,,,,
Nikola Jokic,rebounds,12.5,12.5,0.2,-4.4,72.0,OVER,10.6,12.4,44.0,56.0,COLD,25,fanduel,100,100,-128,50.0,47.1,45.6,Home: 1.07x | Rested: 1.03x,False,3,1.01,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,No player news found,
Tobias Harris,points,12.5,13.3,6.1,-4.6,57.0,OVER,12.2,14.2,44.0,56.0,COLD,16,fanduel,-114,-114,-114,53.3,50.0,48.7,Home: 0.95x | Rested: 1.03x,False,3,0.95,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Kyle Filipowski,rebounds,7.5,9.0,19.6,-4.7,65.0,OVER,7.8,6.4,42.0,58.0,HOT,24,fanduel,-146,-146,114,59.3,55.9,54.7,Rested: 1.03x | Mins: 1.15x,False,3,1.33,UP,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,,
Cade Cunningham,assists,9.5,9.5,-0.2,-4.9,70.0,UNDER,8.8,9.2,52.0,48.0,NEUTRAL,23,fanduel,-118,-112,-118,54.1,50.6,49.3,Home: 1.06x | Rested: 1.03x,False,3,0.9,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Luka Doncic,points,36.5,38.7,6.1,-5.2,66.0,OVER,33.4,34.7,42.0,58.0,NEUTRAL,19,fanduel,-115,-115,-108,53.5,50.7,48.2,Home: 1.09x | Rested: 1.03x,False,4,0.99,STABLE,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,UTA,4,SMASH,25,3,NO_NEWS,,,,
Deni Avdija,rebounds,7.5,8.7,15.4,-5.3,61.0,OVER,7.4,7.2,35.0,65.0,NEUTRAL,26,fanduel,-106,-106,-120,51.5,48.5,46.2,Home: 1.12x | Rested: 1.03x,False,4,0.99,STABLE,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Jimmy Butler,points,18.5,16.5,-10.8,-5.5,65.0,UNDER,16.0,19.1,61.0,39.0,COLD,23,fanduel,-115,-111,-115,53.5,50.4,48.0,Home: 0.90x | Rested: 1.03x,False,4,0.98,STABLE,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,,
Robert Williams,rebounds,6.5,8.0,23.0,-5.7,42.0,OVER,8.8,5.8,25.0,75.0,HOT,16,fanduel,110,110,-140,47.6,44.9,41.9,Home: 0.91x | Rested: 1.03x | Mins: 1.15x,False,4,1.34,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Toumani Camara,threes,2.5,2.2,-11.5,-5.8,58.0,UNDER,2.0,2.3,54.0,46.0,COLD,26,fanduel,-158,124,-158,61.2,57.8,55.4,Home: 1.07x | Rested: 1.03x | Mins: 0.88x,False,4,0.88,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,,
Malik Monk,assists,3.5,3.9,10.8,-6.8,49.0,OVER,3.6,2.5,26.0,74.0,HOT,23,fanduel,130,130,-170,43.5,40.8,36.7,Home: 1.21x | Rested: 1.03x,False,4,0.94,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Goga Bitadze,points,5.5,5.3,-3.6,-7.2,59.0,UNDER,5.0,6.1,60.0,40.0,COLD,25,fanduel,-115,-111,-115,53.5,50.4,46.3,Home: 0.90x | Rested: 1.03x,False,5,0.97,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Cameron Johnson,pra,20.5,24.3,18.7,-7.3,60.0,OVER,18.4,17.0,29.0,71.0,HOT,24,fanduel,-108,-108,-118,51.9,49.0,44.7,Home: 1.07x | Rested: 1.03x | Mins: 1.15x,False,3,1.2,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,No player news found,
Desmond Bane,threes,2.5,2.7,8.3,-7.8,49.0,OVER,2.6,1.8,27.0,73.0,HOT,26,fanduel,122,122,-156,45.0,42.5,37.2,Home: 1.18x | Rested: 1.03x,False,5,1.08,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Keegan Murray,points,16.5,16.7,1.0,-8.2,47.0,OVER,10.8,14.9,36.0,64.0,COLD,11,fanduel,-102,-102,-125,50.5,47.6,42.3,Home: 1.21x | Rested: 1.03x,False,4,0.94,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Keyonte George,threes,2.5,2.7,6.4,-8.7,54.0,OVER,3.0,2.3,40.0,60.0,HOT,25,fanduel,-138,-138,108,58.0,54.7,49.2,Home: 0.92x | Rested: 1.03x,False,3,0.96,STABLE,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,No player news found,
Jusuf Nurkic,rebounds,9.5,9.4,-1.3,-8.8,66.0,UNDER,9.2,9.6,57.0,43.0,NEUTRAL,23,fanduel,-142,112,-142,58.7,55.4,49.9,Rested: 1.03x,False,6,0.91,DOWN,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,,
Draymond Green,threes,1.5,1.4,-3.9,-9.9,49.0,UNDER,1.6,1.6,52.0,48.0,NEUTRAL,21,fanduel,-194,150,-194,66.0,62.3,56.1,Home: 0.92x | Rested: 1.03x,False,4,0.94,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Kyle Filipowski,points,14.5,16.9,16.7,-12.6,51.0,OVER,14.6,10.0,21.0,79.0,HOT,24,fanduel,-113,-113,-113,53.1,50.0,40.4,Home: 1.14x | Rested: 1.03x | Mins: 1.15x,False,3,1.33,UP,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,LAL,23,HARD,3,25,NO_NEWS,,,No player news found,
