player,prop_type,line,odds,side,projection,edge,confidence,prob_win,kelly_stake,bookmaker,flags
Karl-Anthony Towns,rebounds,13.5,190,under,11.0,50.68,0.62,0.852,30.0,bovada,['HIGH_EDGE_SUSPICIOUS']
Mikal Bridges,points,19.5,210,under,16.7,49.23,0.53,0.815,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,points,11.5,205,under,5.9,63.64,0.41,0.964,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Desmond Bane,pra,48.5,100,under,29.2,46.45,0.56,0.964,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,pra,19.5,115,under,12.8,46.37,0.56,0.929,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Desmond Bane,rebounds,6.5,188,under,4.4,54.48,0.47,0.892,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Desmond Bane,points,39.5,124,under,20.3,51.82,0.5,0.965,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Norman Powell,points,21.5,168,over,24.6,41.38,0.61,0.787,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Desmond Bane,threes,6.5,170,under,1.8,59.44,0.39,0.965,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Stephon Castle,pra,25.5,-106,over,30.4,36.32,0.61,0.878,30.0,fanduel,"['SMALL_SAMPLE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,pra,18.5,-115,under,12.8,39.39,0.56,0.929,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Devin Booker,assists,7.5,111,under,6.2,37.78,0.57,0.852,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,points,18.5,170,under,16.7,39.91,0.53,0.769,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Andrew Wiggins,pra,18.5,-115,over,24.7,35.52,0.59,0.89,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Karl-Anthony Towns,rebounds,12.5,125,under,11.0,33.7,0.62,0.781,30.0,bovada,['HIGH_EDGE_SUSPICIOUS']
Brandon Ingram,pra,35.5,112,under,30.8,32.91,0.62,0.801,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Scottie Barnes,assists,6.5,124,under,5.6,35.51,0.58,0.802,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,assists,7.5,114,under,4.8,42.73,0.45,0.895,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,points,12.5,200,under,10.9,36.87,0.5,0.702,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Keldon Johnson,rebounds,5.5,-148,over,6.8,29.62,0.6,0.893,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Aaron Wiggins,pra,14.5,109,over,18.8,35.29,0.5,0.831,30.0,betonlineag,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,pra,17.5,-135,under,12.8,31.83,0.56,0.893,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,points,10.5,210,under,3.9,60.07,0.29,0.923,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Brandon Ingram,points,25.5,110,under,21.2,32.06,0.55,0.797,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,points,9.5,101,under,5.9,43.1,0.41,0.928,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Brandon Ingram,assists,4.5,115,under,3.5,37.13,0.46,0.836,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Dillon Brooks,rebounds,3.5,116,under,3.0,34.26,0.48,0.806,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mark Williams,points,9.5,-125,over,14.7,30.14,0.54,0.857,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Rui Hachimura,rebounds,4.5,134,under,4.1,31.98,0.51,0.747,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Desmond Bane,points,35.5,-130,under,20.3,32.86,0.5,0.894,30.0,fanatics,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Stephon Castle,rebounds,4.5,-114,over,5.6,32.37,0.5,0.856,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Brandon Ingram,pra,34.5,-109,under,30.8,25.8,0.62,0.779,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Norman Powell,points,22.5,120,over,24.6,26.36,0.61,0.718,30.0,fanatics,['HIGH_EDGE_SUSPICIOUS']
Shai Gilgeous-Alexander,pra,41.5,-118,over,43.6,22.68,0.71,0.768,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Cason Wallace,rebounds,3.5,128,under,3.0,34.73,0.46,0.786,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,points,30.5,-115,over,33.3,22.76,0.7,0.762,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Isaiah Joe,points,7.5,100,over,10.9,35.14,0.45,0.851,30.0,fanatics,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luka Doncic,pra,49.5,-120,over,52.3,22.8,0.69,0.773,30.0,betonlineag,['HIGH_EDGE_SUSPICIOUS']
Ochai Agbaji,points,9.5,155,under,3.9,53.12,0.29,0.923,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,points,22.5,-120,over,25.1,24.19,0.62,0.787,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Ochai Agbaji,pra,13.5,120,under,6.3,46.97,0.32,0.924,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luke Kornet,rebounds,7.5,114,under,6.5,31.43,0.47,0.782,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Aaron Wiggins,points,9.5,-104,over,13.8,32.24,0.46,0.832,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,rebounds,3.5,-128,over,4.9,26.12,0.56,0.823,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Bam Adebayo,pra,26.5,-125,over,30.7,25.06,0.57,0.806,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Dillon Brooks,threes,2.5,148,under,1.9,34.77,0.4,0.751,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Stephon Castle,assists,5.5,-102,over,8.2,26.91,0.52,0.774,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,pra,34.5,-107,over,39.1,22.77,0.6,0.745,30.0,draftkings,['HIGH_EDGE_SUSPICIOUS']
Mark Williams,pra,19.5,-105,over,24.1,25.01,0.55,0.762,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Collin Murray-Boyles,assists,1.5,123,under,1.3,32.78,0.42,0.776,30.0,williamhill_us,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,pra,33.5,-115,over,39.1,22.58,0.6,0.761,30.0,betonlineag,['HIGH_EDGE_SUSPICIOUS']
Isaiah Joe,threes,1.5,102,over,2.4,35.6,0.38,0.851,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Stephon Castle,points,15.5,104,over,16.6,23.85,0.56,0.729,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,pra,42.5,-108,over,43.6,18.76,0.71,0.707,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
De'Aaron Fox,points,23.5,-116,over,25.1,21.0,0.62,0.747,30.0,draftkings,['HIGH_EDGE_SUSPICIOUS']
Austin Reaves,pra,32.5,-125,over,39.1,21.59,0.6,0.771,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Brandon Ingram,rebounds,4.5,-155,over,6.1,24.65,0.53,0.854,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Rui Hachimura,threes,1.5,102,over,2.0,30.16,0.43,0.797,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,points,8.5,105,under,3.9,43.55,0.29,0.923,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jordan Clarkson,pra,16.5,135,under,12.6,34.49,0.37,0.77,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Bam Adebayo,rebounds,7.5,111,over,9.8,23.29,0.55,0.707,30.0,williamhill_us,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,threes,1.5,-130,over,2.3,27.93,0.45,0.844,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,points,22.5,-125,over,28.1,21.6,0.57,0.772,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Keldon Johnson,points,11.5,-130,over,15.0,22.09,0.56,0.786,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,pra,12.5,-118,under,6.3,38.3,0.32,0.924,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Scottie Barnes,points,22.5,112,under,21.0,19.77,0.62,0.669,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Ja'Kobe Walter,assists,1.5,130,under,1.1,36.77,0.33,0.802,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,points,31.5,-104,over,33.3,17.34,0.7,0.683,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Josh Hart,pra,26.5,-117,over,30.2,19.31,0.62,0.732,30.0,draftkings,['HIGH_EDGE_SUSPICIOUS']
Norman Powell,threes,4.5,130,under,2.9,41.5,0.29,0.85,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,rebounds,2.5,122,under,2.1,35.63,0.33,0.807,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mitchell Robinson,rebounds,6.5,-137,over,8.5,22.24,0.53,0.8,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,pra,16.5,-180,under,12.8,21.13,0.56,0.854,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Royce O'Neale,threes,2.5,110,over,2.6,23.83,0.49,0.714,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Cason Wallace,assists,2.5,160,under,2.2,32.26,0.36,0.707,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Royce O'Neale,pra,15.5,-120,over,17.9,20.36,0.57,0.749,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Royce O'Neale,rebounds,4.5,-136,over,5.3,20.1,0.58,0.777,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,points,23.5,-125,over,28.1,20.26,0.57,0.758,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jakob Poeltl,rebounds,7.5,-128,over,8.4,19.74,0.58,0.759,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Karl-Anthony Towns,assists,2.5,-158,over,3.4,20.32,0.56,0.816,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,14.5,-150,over,18.1,20.58,0.55,0.806,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Brandon Ingram,points,24.5,-113,under,21.2,20.59,0.55,0.736,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luka Doncic,pra,50.5,-110,over,52.3,16.46,0.69,0.688,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Josh Hart,points,13.5,107,over,15.5,18.9,0.59,0.672,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,points,17.5,135,under,16.7,20.81,0.53,0.634,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,pra,22.5,-110,over,25.2,18.43,0.59,0.708,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Anthony Black,points,11.5,-125,over,15.8,22.56,0.48,0.781,30.0,fanatics,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,points,7.5,-128,under,3.9,36.19,0.29,0.923,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jalen Brunson,pra,38.5,107,under,36.8,15.85,0.67,0.642,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Brandon Ingram,rebounds,5.5,107,over,6.1,20.03,0.53,0.683,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Karl-Anthony Towns,pra,38.5,120,under,37.9,16.82,0.62,0.623,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Josh Hart,pra,28.5,116,over,30.2,16.79,0.62,0.631,30.0,betrivers,['HIGH_EDGE_SUSPICIOUS']
Royce O'Neale,points,8.5,-114,over,9.5,21.98,0.47,0.753,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ja'Kobe Walter,points,8.5,180,under,6.8,37.96,0.27,0.737,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Josh Hart,pra,27.5,-118,over,30.2,16.66,0.62,0.708,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Jamal Shead,points,8.5,-132,under,5.9,24.98,0.41,0.819,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Devin Vassell,points,14.5,-118,over,18.0,20.77,0.49,0.749,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Andrew Wiggins,points,13.5,-115,over,15.6,19.08,0.53,0.726,30.0,fanatics,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,points,14.5,-121,over,16.7,18.84,0.53,0.736,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Chet Holmgren,rebounds,8.5,-114,under,8.0,16.04,0.62,0.693,30.0,fanduel,['HIGH_EDGE_SUSPICIOUS']
Jakob Poeltl,pra,19.5,-122,over,21.1,17.48,0.55,0.724,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,pra,23.5,-103,over,25.2,15.88,0.59,0.666,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,assists,6.5,-145,under,4.8,20.98,0.45,0.802,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mitchell Robinson,rebounds,7.5,105,over,8.5,17.51,0.53,0.663,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,16.5,110,over,18.1,16.14,0.55,0.638,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luka Doncic,points,32.5,-108,over,33.9,13.68,0.65,0.656,30.0,fanduel,[]
Scottie Barnes,pra,36.5,-109,under,34.8,13.15,0.65,0.653,30.0,draftkings,[]
Mikal Bridges,points,13.5,-210,over,16.7,15.91,0.53,0.836,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jordan Clarkson,points,11.5,120,under,8.6,24.99,0.33,0.704,30.0,betrivers,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,13.5,-200,over,18.1,14.98,0.55,0.816,30.0,bovada,['LOW_CONFIDENCE']
Ochai Agbaji,points,6.5,-180,under,3.9,27.96,0.29,0.922,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,pra,11.5,-145,under,6.3,25.66,0.32,0.848,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mitchell Robinson,assists,0.5,120,over,0.9,31.65,0.26,0.771,30.0,fanatics,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,threes,1.5,163,under,1.1,36.63,0.22,0.747,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Devin Vassell,pra,20.5,-104,over,24.2,18.05,0.44,0.69,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jakob Poeltl,pra,18.5,-160,over,21.1,14.37,0.55,0.759,30.0,bovada,['LOW_CONFIDENCE']
Mitchell Robinson,pra,11.5,-122,over,12.8,14.6,0.54,0.696,30.0,betonlineag,['LOW_CONFIDENCE']
Desmond Bane,assists,4.5,105,over,4.5,14.29,0.55,0.631,30.0,draftkings,['LOW_CONFIDENCE']
Gradey Dick,pra,9.5,-105,under,7.5,22.32,0.35,0.735,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,points,15.5,-102,over,16.7,14.54,0.53,0.65,30.0,fanduel,['LOW_CONFIDENCE']
Josh Hart,points,12.5,-116,over,15.5,16.58,0.46,0.703,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,points,9.5,-116,over,10.9,15.18,0.5,0.689,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Deandre Ayton,points,13.5,-114,over,14.7,16.4,0.46,0.697,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
