player,prop_type,line,odds,side,projection,edge,confidence,prob_win,kelly_stake,bookmaker,flags
Shai Gilgeous-Alexander,assists,6.5,116,under,6.1,13.71,0.55,0.6,30.0,fanduel,['LOW_CONFIDENCE']
Dillon Brooks,points,19.5,-104,over,22.4,16.33,0.46,0.673,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Rui Hachimura,points,11.5,-102,over,11.7,17.04,0.43,0.675,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Collin Murray-Boyles,rebounds,3.5,127,under,2.8,26.04,0.28,0.701,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Austin Reaves,rebounds,4.5,-136,over,5.7,16.57,0.43,0.742,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,17.5,140,over,18.1,12.89,0.55,0.546,30.0,bovada,['LOW_CONFIDENCE']
Deandre Ayton,rebounds,8.5,-128,over,10.1,16.23,0.44,0.724,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,rebounds,3.5,-114,over,3.9,13.59,0.52,0.669,30.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,pra,20.5,-103,over,21.1,12.75,0.55,0.635,30.0,draftkings,['LOW_CONFIDENCE']
Jake LaRavia,points,4.5,-114,over,6.5,21.35,0.33,0.746,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,pra,32.5,-120,over,35.4,13.11,0.51,0.677,30.0,fanduel,['LOW_CONFIDENCE']
Ochai Agbaji,rebounds,3.5,136,under,1.8,45.65,0.14,0.88,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,pra,15.5,-128,over,18.1,15.09,0.43,0.712,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Harrison Barnes,rebounds,3.5,-132,over,4.1,13.71,0.46,0.706,30.0,fanduel,['LOW_CONFIDENCE']
Sandro Mamukelashvili,points,10.5,120,over,10.9,12.52,0.5,0.58,30.0,betrivers,['LOW_CONFIDENCE']
Dillon Brooks,pra,24.5,-118,over,27.3,12.83,0.49,0.67,30.0,fanduel,['LOW_CONFIDENCE']
Mikal Bridges,points,12.5,-275,over,16.7,11.71,0.53,0.85,30.0,bovada,['LOW_CONFIDENCE']
Ochai Agbaji,pra,10.5,-190,under,6.3,19.31,0.32,0.848,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ja'Kobe Walter,points,7.5,130,under,6.8,22.4,0.27,0.659,30.0,bovada,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,points,7.5,-157,under,5.9,14.97,0.41,0.761,30.0,betrivers,['LOW_CONFIDENCE']
De'Aaron Fox,threes,2.5,104,under,2.4,12.18,0.5,0.612,30.0,fanduel,['LOW_CONFIDENCE']
Brandon Ingram,points,23.5,-124,under,21.2,10.93,0.55,0.663,30.0,draftkings,['LOW_CONFIDENCE']
Alex Caruso,points,4.5,-114,over,5.3,16.57,0.36,0.698,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
OG Anunoby,pra,20.5,-130,over,22.1,12.56,0.48,0.691,30.0,fanatics,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jordan Clarkson,assists,2.5,141,under,1.8,28.37,0.21,0.699,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
De'Aaron Fox,pra,33.5,-110,over,35.4,11.55,0.51,0.639,30.0,draftkings,['LOW_CONFIDENCE']
Luka Doncic,rebounds,8.5,-118,over,9.4,10.01,0.58,0.641,30.0,fanduel,['LOW_CONFIDENCE']
Oso Ighodaro,pra,9.5,-128,over,12.2,17.28,0.33,0.734,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Sandro Mamukelashvili,points,8.5,-165,over,10.9,14.31,0.39,0.766,30.0,bovada,['LOW_CONFIDENCE']
Devin Vassell,assists,2.5,158,under,2.4,20.39,0.27,0.591,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jordan Clarkson,rebounds,2.5,122,under,2.2,15.71,0.34,0.608,30.0,williamhill_us,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Jamal Shead,threes,1.5,145,under,0.6,49.04,0.11,0.899,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Shai Gilgeous-Alexander,pra,43.5,-112,over,43.6,9.65,0.55,0.625,30.0,draftkings,['LOW_CONFIDENCE']
Devin Booker,pra,34.5,-109,over,31.4,-10.72,0.49,0.414,0.0,draftkings,['LOW_CONFIDENCE']
Jakob Poeltl,rebounds,8.5,107,over,8.4,8.87,0.58,0.572,30.0,draftkings,['LOW_CONFIDENCE']
Chet Holmgren,threes,1.5,100,under,1.2,18.45,0.28,0.684,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Mikal Bridges,threes,2.5,158,under,2.0,30.24,0.16,0.69,30.0,betonlineag,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luguentz Dort,points,6.5,-120,over,8.3,13.37,0.37,0.679,30.0,draftkings,['LOW_CONFIDENCE']
Jakob Poeltl,pra,17.5,-200,over,21.1,11.06,0.43,0.777,30.0,bovada,['LOW_CONFIDENCE']
Brandon Ingram,pra,33.5,-118,under,30.8,9.79,0.49,0.639,30.0,draftkings,['LOW_CONFIDENCE']
Gradey Dick,points,6.5,-110,under,5.0,19.08,0.25,0.715,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Dylan Harper,points,12.5,104,over,13.0,9.31,0.51,0.583,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jordan Clarkson,rebounds,1.5,-192,over,2.2,13.66,0.34,0.794,30.0,draftkings,['LOW_CONFIDENCE']
Jordan Clarkson,pra,15.5,-106,under,12.6,15.91,0.29,0.674,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Aaron Wiggins,threes,1.5,108,over,2.5,20.32,0.23,0.684,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
OG Anunoby,points,15.5,-102,over,15.9,9.7,0.47,0.602,30.0,draftkings,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Tyler Kolek,pra,6.5,110,under,8.4,-13.27,0.34,0.343,0.0,fanatics,['LOW_CONFIDENCE']
Paolo Banchero,points,17.5,-145,over,18.7,9.35,0.48,0.685,30.0,fanatics,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Sandro Mamukelashvili,rebounds,4.5,-124,over,5.7,10.69,0.42,0.66,30.0,draftkings,['LOW_CONFIDENCE']
OG Anunoby,pra,21.5,-107,over,22.1,9.3,0.48,0.61,30.0,draftkings,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Cason Wallace,pra,13.5,-104,under,13.3,7.53,0.59,0.585,30.0,fanduel,['LOW_CONFIDENCE']
Harrison Barnes,threes,2.5,120,under,2.4,14.67,0.29,0.601,30.0,fanduel,['LOW_CONFIDENCE']
Karl-Anthony Towns,pra,35.5,-115,over,37.9,8.82,0.49,0.623,30.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,pra,21.5,120,over,21.1,7.6,0.55,0.531,30.0,bovada,['LOW_CONFIDENCE']
Mikal Bridges,points,16.5,118,under,16.7,10.09,0.42,0.56,30.0,betrivers,['LOW_CONFIDENCE']
Mitchell Robinson,rebounds,8.5,200,over,8.5,9.96,0.42,0.433,30.0,bovada,['LOW_CONFIDENCE']
De'Aaron Fox,assists,6.5,124,under,6.5,8.7,0.47,0.533,30.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,assists,2.5,145,under,2.5,18.67,0.22,0.595,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Devin Booker,pra,33.5,-120,over,31.4,-8.34,0.49,0.462,0.0,fanduel,['LOW_CONFIDENCE']
Ja'Kobe Walter,threes,1.5,160,under,1.4,19.98,0.2,0.584,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
OG Anunoby,points,13.5,-167,over,15.9,10.96,0.37,0.735,30.0,betrivers,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Ja'Kobe Walter,rebounds,2.5,-106,over,3.0,13.73,0.29,0.652,30.0,draftkings,['LOW_CONFIDENCE']
Luke Kornet,points,7.5,-118,under,6.4,13.11,0.31,0.672,30.0,fanduel,['LOW_CONFIDENCE']
Dylan Harper,pra,18.5,-112,over,19.5,7.56,0.53,0.604,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jalen Brunson,points,28.5,102,under,27.8,6.29,0.63,0.558,30.0,betrivers,[]
Chet Holmgren,pra,28.5,-122,over,27.6,-8.17,0.48,0.468,0.0,fanduel,['LOW_CONFIDENCE']
Collin Murray-Boyles,pra,10.5,-115,under,9.4,11.48,0.34,0.65,30.0,fanatics,['LOW_CONFIDENCE']
Josh Hart,rebounds,8.5,-105,under,9.5,-9.04,0.43,0.422,0.0,draftkings,['LOW_CONFIDENCE']
Devin Vassell,points,15.5,-105,over,18.0,9.97,0.38,0.612,30.0,draftkings,['LOW_CONFIDENCE']
Scottie Barnes,points,20.5,-141,over,21.0,-7.7,0.49,0.508,0.0,betrivers,['LOW_CONFIDENCE']
Dylan Harper,assists,3.5,112,over,4.0,10.8,0.34,0.58,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Scottie Barnes,pra,35.5,-118,under,34.8,5.67,0.65,0.598,30.0,betrivers,[]
Devin Booker,rebounds,3.5,-136,over,4.5,11.54,0.32,0.692,30.0,fanduel,['LOW_CONFIDENCE']
Austin Reaves,threes,2.5,-114,over,3.2,10.49,0.34,0.638,30.0,fanduel,['LOW_CONFIDENCE']
OG Anunoby,points,14.5,-128,over,15.9,9.68,0.37,0.658,30.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Alex Caruso,rebounds,2.5,116,under,2.8,12.31,0.29,0.586,30.0,fanduel,['LOW_CONFIDENCE']
Mitchell Robinson,rebounds,5.5,-275,over,8.5,8.49,0.42,0.818,30.0,bovada,['LOW_CONFIDENCE']
Sandro Mamukelashvili,points,11.5,150,over,10.9,8.69,0.39,0.487,30.0,bovada,['LOW_CONFIDENCE']
Devin Vassell,threes,2.5,-112,over,3.2,12.52,0.27,0.654,30.0,fanduel,['LOW_CONFIDENCE']
Scottie Barnes,threes,1.5,103,under,1.4,17.34,0.19,0.666,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Luguentz Dort,threes,1.5,-132,under,1.9,-11.32,0.29,0.456,0.0,fanduel,['LOW_CONFIDENCE']
Jamal Shead,pra,15.5,-230,under,12.8,7.25,0.44,0.769,30.0,bovada,['LOW_CONFIDENCE']
Ochai Agbaji,assists,1.5,142,under,0.7,38.38,0.08,0.797,30.0,williamhill_us,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Karl-Anthony Towns,points,20.5,-165,over,23.5,7.2,0.43,0.695,30.0,betrivers,['LOW_CONFIDENCE']
Cason Wallace,threes,1.5,162,over,1.5,9.96,0.31,0.481,30.0,fanduel,['LOW_CONFIDENCE']
Grayson Allen,assists,3.5,-104,over,3.0,-8.44,0.36,0.425,0.0,fanduel,['LOW_CONFIDENCE']
Scottie Barnes,points,21.5,-116,under,21.0,4.91,0.62,0.586,26.53,draftkings,[]
Scottie Barnes,rebounds,7.5,-144,over,8.2,6.91,0.44,0.659,30.0,draftkings,['LOW_CONFIDENCE']
Ochai Agbaji,points,5.5,-275,under,3.9,10.25,0.29,0.836,30.0,bovada,['LOW_CONFIDENCE']
Sandro Mamukelashvili,points,7.5,-240,over,10.9,7.66,0.39,0.783,30.0,bovada,['LOW_CONFIDENCE']
Devin Booker,points,22.5,-122,under,20.7,6.54,0.45,0.615,30.0,fanduel,['LOW_CONFIDENCE']
Gradey Dick,threes,1.5,196,under,0.6,48.55,0.06,0.823,30.0,fanduel,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Collin Murray-Boyles,points,6.5,-101,under,5.3,13.94,0.2,0.642,30.0,draftkings,['LOW_CONFIDENCE']
Karl-Anthony Towns,points,21.5,-125,over,23.5,6.27,0.43,0.618,30.0,draftkings,['LOW_CONFIDENCE']
De'Aaron Fox,assists,5.5,-117,over,6.5,7.27,0.37,0.612,30.0,draftkings,['LOW_CONFIDENCE']
Harrison Barnes,points,12.5,-118,over,15.1,7.37,0.36,0.615,30.0,fanduel,['LOW_CONFIDENCE']
Cason Wallace,rebounds,2.5,-175,over,3.0,-7.39,0.36,0.562,0.0,fanatics,['LOW_CONFIDENCE']
Tyler Kolek,points,2.5,-150,over,4.9,7.96,0.31,0.68,30.0,fanatics,['LOW_CONFIDENCE']
Jalen Brunson,points,26.5,-152,over,27.8,4.88,0.49,0.652,30.0,betrivers,['LOW_CONFIDENCE']
Jordan Clarkson,pra,14.5,-120,under,12.6,8.22,0.29,0.628,30.0,bovada,['LOW_CONFIDENCE']
Luka Doncic,assists,8.5,-125,over,9.0,5.08,0.47,0.606,28.56,fanduel,['LOW_CONFIDENCE']
Ochai Agbaji,rebounds,2.5,-167,under,1.8,16.37,0.14,0.789,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Karl-Anthony Towns,rebounds,10.5,-185,over,11.0,-4.81,0.48,0.601,0.0,bovada,['LOW_CONFIDENCE']
Grayson Allen,threes,2.5,-180,over,3.4,8.22,0.26,0.725,30.0,fanduel,['LOW_CONFIDENCE']
Cason Wallace,points,7.5,-114,over,8.1,5.64,0.38,0.589,30.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,points,8.5,-152,over,10.2,6.73,0.31,0.67,30.0,betrivers,['LOW_CONFIDENCE']
Luguentz Dort,rebounds,3.5,-125,over,3.2,-7.4,0.27,0.482,0.0,fanduel,['LOW_CONFIDENCE']
Collin Murray-Boyles,threes,0.5,155,under,0.4,32.13,0.06,0.713,30.0,betmgm,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Ochai Agbaji,pra,9.5,-275,under,6.3,7.52,0.25,0.809,30.0,bovada,['LOW_CONFIDENCE']
Jordan Clarkson,threes,1.5,110,under,0.9,28.71,0.07,0.763,30.0,draftkings,"['LOW_CONFIDENCE', 'HIGH_EDGE_SUSPICIOUS']"
Dylan Harper,rebounds,3.5,142,over,2.5,-10.3,0.17,0.31,0.0,fanduel,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Jordan Clarkson,points,10.5,-127,under,8.6,6.83,0.26,0.628,30.0,draftkings,['LOW_CONFIDENCE']
Oso Ighodaro,points,4.5,-102,under,5.9,-9.39,0.19,0.411,0.0,fanduel,['LOW_CONFIDENCE']
Jalen Brunson,points,27.5,-106,over,27.8,3.58,0.49,0.55,18.42,draftkings,['LOW_CONFIDENCE']
Desmond Bane,assists,5.5,290,over,4.5,-3.98,0.43,0.217,0.0,fanduel,['LOW_CONFIDENCE']
Jakob Poeltl,points,9.5,-125,over,10.2,5.41,0.31,0.61,30.0,draftkings,['LOW_CONFIDENCE']
Brandon Ingram,threes,1.5,-146,over,1.7,-9.08,0.18,0.503,0.0,draftkings,['LOW_CONFIDENCE']
Jordan Clarkson,points,9.5,-157,under,8.6,-6.24,0.26,0.549,0.0,betrivers,['LOW_CONFIDENCE']
Karl-Anthony Towns,pra,37.5,100,over,37.9,3.34,0.49,0.533,16.71,betrivers,['LOW_CONFIDENCE']
Karl-Anthony Towns,rebounds,11.5,-117,under,11.0,3.34,0.48,0.573,18.12,draftkings,['LOW_CONFIDENCE']
Brandon Ingram,pra,32.5,-167,under,30.8,-3.23,0.49,0.593,0.0,betrivers,['LOW_CONFIDENCE']
Ja'Kobe Walter,pra,10.5,-118,under,11.0,-4.78,0.33,0.493,0.0,betmgm,['LOW_CONFIDENCE']
OG Anunoby,assists,1.5,-114,over,1.7,9.07,0.17,0.623,30.0,draftkings,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
OG Anunoby,rebounds,4.5,113,over,4.5,5.37,0.28,0.523,25.3,draftkings,"['SMALL_SAMPLE', 'LOW_CONFIDENCE']"
Mark Williams,rebounds,7.5,-122,under,8.0,-4.37,0.34,0.506,0.0,fanduel,['LOW_CONFIDENCE']
Devin Booker,assists,6.5,-132,under,6.2,-3.2,0.45,0.537,0.0,fanduel,['LOW_CONFIDENCE']
Andrew Wiggins,threes,2.5,420,over,1.4,-5.02,0.26,0.142,0.0,draftkings,['LOW_CONFIDENCE']
Josh Hart,assists,5.5,102,over,5.3,3.79,0.34,0.533,18.77,draftkings,['LOW_CONFIDENCE']
Davion Mitchell,points,9.5,110,over,9.2,3.59,0.35,0.512,17.14,fanatics,['LOW_CONFIDENCE']
Grayson Allen,points,15.5,-118,over,16.7,3.21,0.37,0.573,17.52,fanduel,['LOW_CONFIDENCE']
Gradey Dick,assists,0.5,-165,over,0.8,12.33,0.09,0.746,30.0,betmgm,['LOW_CONFIDENCE']
Jakob Poeltl,assists,1.5,-189,over,2.5,-6.25,0.17,0.591,0.0,draftkings,['LOW_CONFIDENCE']
Tyler Kolek,threes,0.5,120,under,0.6,8.02,0.13,0.535,30.0,fanatics,['LOW_CONFIDENCE']
Josh Hart,threes,1.5,106,under,2.1,-4.16,0.25,0.444,0.0,draftkings,['LOW_CONFIDENCE']
Royce O'Neale,assists,2.5,122,under,3.2,5.25,0.2,0.503,23.89,fanduel,['LOW_CONFIDENCE']
Sandro Mamukelashvili,threes,0.5,-260,over,1.1,5.76,0.17,0.78,30.0,bovada,['LOW_CONFIDENCE']
Tyler Kolek,rebounds,0.5,-175,over,1.2,5.43,0.18,0.691,30.0,fanatics,['LOW_CONFIDENCE']
Sandro Mamukelashvili,assists,1.5,-101,over,1.6,4.91,0.2,0.552,24.68,draftkings,['LOW_CONFIDENCE']
Gradey Dick,rebounds,1.5,-162,over,1.7,-4.74,0.18,0.571,0.0,williamhill_us,['LOW_CONFIDENCE']
Isaiah Joe,rebounds,2.5,105,under,2.5,3.05,0.25,0.518,14.9,fanatics,['LOW_CONFIDENCE']
Gradey Dick,points,5.5,-127,under,5.0,-3.85,0.19,0.521,0.0,draftkings,['LOW_CONFIDENCE']
Ja'Kobe Walter,points,4.5,-260,over,6.8,-3.19,0.21,0.69,0.0,bovada,['LOW_CONFIDENCE']
Mikal Bridges,threes,1.5,-185,over,2.0,4.34,0.13,0.693,30.0,draftkings,['LOW_CONFIDENCE']
